"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score.Predict"
"530330220062",NA,1327,99890,41047,0.129,0.065,0.044,0.056,35.8,0.16,0.052,0.053,0.074,0.127,0.115,0.105,0.131,0.183,"0.5"
"530330016003",NA,1470,169130,78483,0.069,0.057,0.067,0.043,40.2,0.213,0.061,0.058,0.092,0.13,0.105,0.086,0.101,0.154,"0.5"
"530530702072",NA,1269,16267,6605,0.095,0.05,0.097,0.074,35.1,0.29,0.071,0.111,0.095,0.124,0.107,0.062,0.101,0.039,"0.5"
"530330048001",NA,1203,264695,119156,0.012,0.05,0,0.04,34.6,0.196,0.06,0.059,0.088,0.12,0.105,0.088,0.109,0.174,"0.5"
"530330022002",NA,1496,172537,71024,0.097,0.053,0.1,0.049,38.5,0.264,0.063,0.063,0.071,0.114,0.091,0.065,0.102,0.165,"0.75"
"530330043012",NA,1343,203928,85627,0.013,0.048,0.074,0.045,38.4,0.22,0.06,0.056,0.076,0.111,0.092,0.079,0.109,0.198,"0.5"
"530330108002",NA,1389,123907,51552,0.055,0.063,0.099,0.069,34.6,0.252,0.071,0.073,0.088,0.118,0.108,0.078,0.1,0.111,"0.5"
"530530635012",NA,1271,133809,48369,0.078,0.076,0.11,0.073,37.7,0.383,0.114,0.107,0.119,0.128,0.076,0.033,0.025,0.014,"0.5"
"530530703162",NA,3740,55314,20102,0.071,0.076,0.075,0.072,34.2,0.228,0.082,0.092,0.113,0.125,0.117,0.081,0.09,0.071,"0.75"
"530330069004",NA,1174,233074,125232,0.038,0.039,0.037,0.027,40.8,0.215,0.059,0.063,0.084,0.122,0.102,0.086,0.103,0.167,"0.5"
"530530729053",NA,1980,26510,7961,0.228,0.141,0.161,0.101,20.4,0.299,0.136,0.077,0.124,0.17,0.066,0.039,0.058,0.033,"0.5"
"530330323261",NA,1371,33133,11875,0.074,0.065,0.058,0.075,51,0.101,0.043,0.036,0.049,0.09,0.13,0.077,0.138,0.335,"0.5"
"530330237002",NA,1953,118455,50164,0.08,0.06,0.113,0.054,43,0.159,0.044,0.042,0.071,0.112,0.121,0.085,0.126,0.239,"0.5"
"530330245001",NA,2527,74419,29192,0.025,0.05,0.067,0.061,44.1,0.137,0.039,0.041,0.066,0.107,0.107,0.09,0.123,0.29,"0.5"
"530330093003",NA,998,161190,70742,0.009,0.049,0.02,0.048,42.4,0.308,0.066,0.065,0.083,0.106,0.092,0.071,0.091,0.118,"0.5"
"530330036004",NA,2183,260596,112159,0.038,0.052,0,0.044,31.2,0.213,0.061,0.056,0.085,0.119,0.101,0.083,0.106,0.175,"0.375"
"530330236041",NA,3216,116404,47749,0.066,0.059,0.069,0.057,32.1,0.17,0.048,0.048,0.074,0.114,0.119,0.077,0.128,0.222,"0.5"
"530330324021",NA,1998,11398,3989,0.073,0.061,0.05,0.08,37.2,0.126,0.026,0.051,0.046,0.118,0.135,0.056,0.223,0.219,"0.5"
"530330104011",NA,1072,111321,41754,0.084,0.057,0.016,0.061,38.2,0.31,0.069,0.064,0.079,0.108,0.088,0.076,0.089,0.118,"0.5"
"530330097025",NA,1270,62483,28369,0.02,0.064,0.098,0.06,42.9,0.195,0.063,0.061,0.09,0.11,0.111,0.076,0.135,0.159,"0.5"
"530330102004",NA,1137,118608,43764,0.137,0.054,0.009,0.061,39.8,0.264,0.061,0.058,0.076,0.113,0.093,0.076,0.092,0.168,"0.75"
"530330320051",NA,671,53941,18823,0,0.059,0.048,0.08,49.6,0.137,0.042,0.056,0.086,0.175,0.143,0.113,0.13,0.118,"0.5"
"530330249034",NA,1587,77820,28323,0.021,0.058,0.043,0.06,50,0.124,0.042,0.039,0.082,0.118,0.107,0.087,0.143,0.259,"0.5"
"530330088002",NA,1517,196592,103276,0.071,0.035,0.041,0.03,35.3,0.26,0.057,0.056,0.079,0.11,0.096,0.08,0.098,0.164,"0.75"
"530330226062",NA,1759,112991,46618,0.03,0.067,0.081,0.063,33.6,0.152,0.037,0.041,0.072,0.115,0.116,0.103,0.143,0.221,"0.5"
"530330056004",NA,1224,117062,58065,0.069,0.049,0.065,0.037,45.4,0.155,0.066,0.06,0.09,0.138,0.108,0.092,0.102,0.19,"0.5"
"530330104021",NA,1440,128215,48246,0.015,0.062,0.028,0.065,34.9,0.306,0.077,0.068,0.094,0.117,0.092,0.073,0.084,0.089,"0.75"
"530330323072",NA,1217,32500,11819,0.108,0.065,0.087,0.066,42.7,0.124,0.047,0.042,0.06,0.108,0.135,0.077,0.136,0.272,"0.5"
"530530717032",NA,1568,116797,42788,0.121,0.079,0.091,0.071,31.5,0.398,0.113,0.109,0.114,0.124,0.068,0.034,0.027,0.013,"0.25"
"530330001005",NA,1128,150935,63999,0.048,0.059,0.014,0.049,31.7,0.251,0.068,0.067,0.079,0.127,0.102,0.068,0.103,0.134,"0.5"
"530330294053",NA,1077,107656,35945,0.008,0.069,0.084,0.068,37.5,0.234,0.074,0.081,0.12,0.146,0.115,0.08,0.083,0.067,"0.5"
"530530714103",NA,2538,48046,16489,0.076,0.065,0.088,0.078,28.6,0.249,0.08,0.106,0.134,0.187,0.079,0.077,0.057,0.031,"0.5"
"530530716012",NA,1337,102391,35624,0.038,0.072,0.037,0.071,50.2,0.352,0.107,0.107,0.116,0.134,0.08,0.041,0.041,0.021,"0.5"
"530330250012",NA,1635,90551,33152,0.034,0.057,0.043,0.066,37.9,0.148,0.046,0.045,0.083,0.114,0.108,0.082,0.134,0.239,"0.5"
"530539400033",NA,2121,45755,16443,0.088,0.066,0.093,0.077,28.5,0.268,0.075,0.077,0.105,0.156,0.12,0.068,0.076,0.055,"0.5"
"530330086002",NA,2561,214181,113787,0.007,0.035,0,0.029,20.8,0.246,0.056,0.059,0.078,0.117,0.097,0.082,0.098,0.167,"0.75"
"530330236044",NA,817,103659,41879,0.097,0.056,0.061,0.056,27.8,0.168,0.048,0.047,0.07,0.119,0.115,0.077,0.129,0.226,"0.5"
"530530631001",NA,1099,130596,47638,0.016,0.075,0.085,0.075,41.9,0.389,0.114,0.101,0.114,0.126,0.077,0.037,0.026,0.015,"0.25"
"530530729062",NA,575,15848,4803,0.007,0.17,0.007,0.103,22.7,0.342,0.171,0.091,0.111,0.168,0.04,0.025,0.035,0.016,"0.5"
"530330090002",NA,1998,202760,106861,0.056,0.036,0.052,0.029,41.8,0.265,0.058,0.056,0.078,0.112,0.098,0.079,0.096,0.158,"0.75"
"530330221022",NA,927,108416,43810,0.113,0.065,0.047,0.062,39,0.184,0.059,0.06,0.078,0.132,0.109,0.098,0.133,0.147,"0.5"
"530530731181",NA,1978,18909,6332,0.066,0.071,0.072,0.078,32.2,0.141,0.107,0.078,0.132,0.211,0.111,0.108,0.065,0.046,"0.5"
"530330094005",NA,1407,192202,99533,0.014,0.034,0.08,0.031,33,0.275,0.057,0.057,0.079,0.111,0.096,0.081,0.094,0.15,"0.5"
"530330236043",NA,1407,112602,46275,0.022,0.056,0.036,0.055,52.2,0.168,0.05,0.048,0.072,0.118,0.118,0.08,0.125,0.223,"0.5"
"530330291022",NA,1333,95241,34067,0.036,0.068,0.106,0.077,37.4,0.321,0.085,0.09,0.136,0.12,0.087,0.062,0.055,0.044,"0.5"
"530330322121",NA,2839,54759,19816,0.106,0.069,0.065,0.081,36,0.104,0.034,0.036,0.052,0.108,0.099,0.115,0.147,0.305,"0.5"
"530330320101",NA,1028,44758,15423,0.109,0.067,0.048,0.096,51,0.125,0.04,0.053,0.089,0.177,0.148,0.118,0.141,0.108,"0.5"
"530530703092",NA,1767,44129,14912,0.02,0.065,0.072,0.08,43.2,0.143,0.065,0.074,0.099,0.159,0.153,0.104,0.112,0.09,"0.5"
"530330323213",NA,2550,92760,36620,0.105,0.067,0.09,0.067,37.1,0.154,0.048,0.048,0.068,0.121,0.126,0.092,0.141,0.201,"0.5"
"530330053014",NA,1419,283046,131999,0,0.044,0,0.04,23.5,0.206,0.056,0.059,0.079,0.115,0.105,0.083,0.11,0.187,"0.5"
"530530724072",NA,1527,35248,15017,0.058,0.054,0.074,0.051,51.4,0.253,0.061,0.07,0.102,0.147,0.119,0.077,0.067,0.104,"0.5"
"530330260023",NA,1492,107982,41676,0.01,0.061,0.052,0.061,33.7,0.262,0.079,0.076,0.104,0.136,0.122,0.064,0.08,0.077,"0.5"
"530330026003",NA,1469,237001,100964,0.067,0.051,0.084,0.045,29.6,0.221,0.064,0.058,0.082,0.113,0.097,0.08,0.107,0.179,"0.75"
"530330205005",NA,1456,108063,45079,0.131,0.06,0.077,0.05,29.7,0.268,0.069,0.068,0.082,0.142,0.105,0.074,0.101,0.091,"0.75"
"530330227012",NA,1591,89442,38904,0.109,0.057,0.016,0.047,39.1,0.15,0.042,0.043,0.069,0.102,0.106,0.091,0.123,0.273,"0.5"
"530330273003",NA,1450,117300,42027,0.133,0.07,0.043,0.065,34.4,0.329,0.103,0.091,0.094,0.127,0.092,0.065,0.055,0.044,"0.75"
"530330077002",NA,1184,233732,120585,0.051,0.033,0.008,0.026,40.5,0.268,0.057,0.058,0.078,0.112,0.093,0.077,0.095,0.163,"0.5"
"530330206004",NA,837,98602,40926,0.104,0.058,0.115,0.049,44.9,0.267,0.065,0.068,0.081,0.144,0.106,0.075,0.099,0.096,"0.5"
"530330047001",NA,1293,234403,104815,0.022,0.05,0.08,0.041,40.9,0.194,0.06,0.06,0.09,0.118,0.104,0.09,0.11,0.173,"0.75"
"530530719013",NA,867,75625,30386,0,0.082,0.017,0.069,60.8,0.418,0.113,0.098,0.11,0.111,0.063,0.04,0.025,0.022,"0.25"
"530330010002",NA,1022,191229,80920,0.035,0.052,0.109,0.048,41.9,0.265,0.065,0.061,0.078,0.121,0.093,0.068,0.099,0.148,"0.75"
"530330232021",NA,2168,91448,35823,0.088,0.065,0.108,0.066,33.9,0.171,0.047,0.049,0.078,0.116,0.121,0.076,0.127,0.215,"0.5"
"530330226031",NA,746,115565,47836,0.028,0.064,0.02,0.058,57.1,0.153,0.047,0.051,0.072,0.124,0.124,0.103,0.136,0.189,"0.5"
"530670116232",NA,5148,60924,23425,0.119,0.066,0.095,0.065,30.5,0.218,0.087,0.085,0.128,0.184,0.119,0.073,0.068,0.036,"0.5"
"530539400113",NA,1067,41940,14767,0.041,0.062,0.028,0.056,51.9,0.172,0.076,0.061,0.096,0.146,0.134,0.105,0.114,0.095,"0.5"
"530530714113",NA,1837,44699,14822,0.118,0.071,0.058,0.088,28.3,0.247,0.071,0.097,0.134,0.188,0.086,0.083,0.058,0.035,"0.5"
"530330316051",NA,1238,27562,9520,0.061,0.073,0.016,0.1,52.9,0.143,0.047,0.045,0.098,0.159,0.151,0.113,0.139,0.107,"0.5"
"530330264003",NA,1433,133236,47820,0.04,0.064,0.064,0.067,36.3,0.335,0.093,0.084,0.088,0.13,0.091,0.072,0.06,0.047,"0.375"
"530530714033",NA,1251,58796,19786,0.044,0.07,0.052,0.067,37.2,0.283,0.073,0.107,0.119,0.185,0.08,0.068,0.059,0.027,"0.5"
"530330217002",NA,2170,64740,25362,0.095,0.071,0.047,0.068,35.6,0.162,0.059,0.057,0.085,0.124,0.106,0.113,0.15,0.143,"0.5"
"530330293073",NA,1355,84588,29691,0.032,0.061,0.112,0.064,42.1,0.172,0.065,0.077,0.112,0.168,0.131,0.089,0.11,0.076,"0.5"
"530330274003",NA,1605,103869,37520,0.042,0.073,0.032,0.069,40.4,0.313,0.101,0.085,0.099,0.125,0.09,0.071,0.062,0.054,"0.5"
"530670122111",NA,1118,9042,3716,0.035,0.044,0.073,0.056,53.7,0.184,0.055,0.05,0.128,0.151,0.116,0.091,0.133,0.091,"0.5"
"530330293052",NA,832,98005,33460,0.031,0.067,0.012,0.062,36.4,0.232,0.073,0.082,0.124,0.154,0.111,0.076,0.09,0.058,"0.75"
"530330257013",NA,1043,118522,45878,0.128,0.066,0.113,0.065,31.3,0.226,0.072,0.081,0.114,0.15,0.121,0.07,0.091,0.074,"0.5"
