CS_ID,Address_Line,City,Postal_Code,Property_Type,bg_geo_id,url,Price,SquareFeet,Price.SQFT,Sale_Type,Score.Predict,Score,,,,,
LN-22243531,758 Polk St S,Tacoma,98444,MultifamilyMultifamilyApartments,530530717072,https://www.loopnet.com/Listing/758-Polk-St-S-Tacoma-WA/22243531/,525000,2256,233,Investment,1.539543678,1.539543678,,,,,
LN-20742136,9810 Pacific Ave,Tacoma,98444,Retail,530530712061,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,2370000,1682,1409,Investment,1.043641525,1.043641525,,,,,
LN-21975731,9801 A St,Tacoma,98444,Land,530530716023,https://www.loopnet.com/Listing/9801-A-St-Tacoma-WA/21975731/,1400000,116305,12,Investment,3.175431699,3.175431699,,,,,
LN-3945583,19406 Mountain Hwy E,Spanaway,98387,Land,530530714102,https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/,5400000,779288,7,Investment,1.607921758,1.607921758,,,,,
LN-21481019,18407 Pacific Ave S,Spanaway,98387,Office,530530714101,https://www.loopnet.com/Listing/18407-Pacific-Ave-S-Spanaway-WA/21481019/,2550000,24064,106,Investment,3.009660521,3.009660521,,,,,
LN-22145016,12116 109th Avenue Ct E,Puyallup,98374,Multifamily,530530712081,https://www.loopnet.com/Listing/12116-109th-Avenue-Ct-E-Puyallup-WA/22145016/,625000,2598,241,Investment,3.849839829,3.849839829,,,,,
LN-20956338,4404 S Meridian,Puyallup,98373,Retail,530539400101,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,6230000,14355,434,Investment,1.593241149,1.593241149,,,,,
LN-21571284,10615 Canyon Rd E,Puyallup,98373,Land,530530712063,https://www.loopnet.com/Listing/10615-Canyon-Rd-E-Puyallup-WA/21571284/,550000,39640,14,Investment,2.001435755,2.001435755,,,,,
LN-18710758,8217 S Hosmer St,Tacoma,98408,Land,530530635014,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,1190000,37026,32,Investment,3.134990704,3.134990704,,,,,
LN-22087491,3020 S Union Ave,Tacoma,98409,Office,530530628011,https://www.loopnet.com/Listing/3020-S-Union-Ave-Tacoma-WA/22087491/,1025000,3221,318,Investment,1.230188859,1.230188859,,,,,
LN-22202096,2608 S 47th St,Tacoma,98409,Office,530530626002,https://www.loopnet.com/Listing/2608-S-47th-St-Tacoma-WA/22202096/,6100000,20000,305,Investment,1.269137744,1.269137744,,,,,
LN-21548454,3414 Pacific Ave,Tacoma,98418,Retail,530530619001,https://www.loopnet.com/Listing/3414-Pacific-Ave-Tacoma-WA/21548454/,5.00E+05,2604,192,Owner User,1.636770226,1.636770226,,,,,
LN-21948843,3418 Pacific Ave,Tacoma,98418,Retail,530530619001,https://www.loopnet.com/Listing/3418-Pacific-Ave-Tacoma-WA/21948843/,340000,1473,231,Owner User,1.434161543,1.434161543,,,,,
LN-21816101,3320 S G St,Tacoma,98418,Retail,530530618001,https://www.loopnet.com/Listing/3320-S-G-St-Tacoma-WA/21816101/,3.00E+06,19199,156,Owner User,1.915393079,1.915393079,,,,,
LN-22076689,2365 Tacoma Ave S,Tacoma,98402,Retail,530530616021,https://www.loopnet.com/Listing/2365-Tacoma-Ave-S-Tacoma-WA/22076689/,665000,2988,223,Investment or Owner User,1.468330839,1.468330839,,,,,
LN-21177908,1119 Pacific Ave,Tacoma,98402,Office,530530616011,https://www.loopnet.com/Listing/1119-Pacific-Ave-Tacoma-WA/21177908/,8500000,87564,97,Investment,3.563574547,3.563574547,,,,,
LN-21889127,1113-1115 A St,Tacoma,98402,Office,530530616011,https://www.loopnet.com/Listing/1113-1115-A-St-Tacoma-WA/21889127/,2025000,17000,119,Investment,3.36902431,3.36902431,,,,,
LN-3726167,1123 Pacific Ave,Tacoma,98402,Office,530530616011,https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/,4975000,26804,186,Investment or Owner User,2.276898134,2.276898134,,,,,
LN-22244199,414 N D St,Tacoma,98403,Multifamily,530530615001,https://www.loopnet.com/Listing/414-N-D-St-Tacoma-WA/22244199/,880000,4209,209,Investment,2.605206443,2.605206443,,,,,
LN-20058903,1401 S Union Ave,Tacoma,98405,Office,530530612001,https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/,1750000,4886,358,Investment,1.145393679,1.145393679,,,,,
LN-3958478,3230 N Narrows Dr,Tacoma,98407,Land,530530609033,https://www.loopnet.com/Listing/3230-N-Narrows-Dr-Tacoma-WA/3958478/,7900000,2017699,4,Investment,0.258699578,0.258699578,,,,,
LN-22093926,1179 Dock St,Tacoma,98402,Land,530530602001,https://www.loopnet.com/Listing/1179-Dock-St-Tacoma-WA/22093926/,3750000,57935,65,Investment,2.833595139,2.833595139,,,,,
LN-22076954,448 E 18th St,Tacoma,98421,Industrial,530530602001,https://www.loopnet.com/Listing/448-E-18th-St-Tacoma-WA/22076954/,5200000,36000,144,OwnerUser,2.249756206,2.249756206,,,,,
LN-22173561,216-220 Puyallup Ave,Tacoma,98421,Specialty,530530602001,https://www.loopnet.com/Listing/216-220-Puyallup-Ave-Tacoma-WA/22173561/,3185000,48000,66,Investment,3.702034924,3.702034924,,,,,
