Address_Line,City,State,Postal_Code,Property_Type,bg_geo_id,CS_ID,url,Price,SquareFeet,Building_Class,Year_Built,Sale_Type,Picture_url,Upload_Date,Currently_listed,Sale_Lease,old_CS_ID
5715 Wollochet Dr NW,Gig Harbor,WA,98335,Office,530530724071,LN-17149505,https://www.loopnet.com/Listing/5715-Wollochet-Dr-NW-Gig-Harbor-WA/17149505/,997950,6000,B,1992,Owner User,N/A,2021-02-26,true,Sale,
5601 Soundview Dr,Gig Harbor,WA,98335,Retail,530530724071,LN-18591703,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,1780000,6686,B,1982,Owner User,N/A,2021-02-26,true,Sale,
6802 27th St W,University Place,WA,98466,Land,530530723112,LN-12239253,https://www.loopnet.com/Listing/6802-27th-St-W-University-Place-WA/12239253/,6862442,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
2901-2915 Bridgeport Way W,University Place,WA,98466,HealthCare,530530723112,LN-21459049,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,9800000,,C,1969/2017,Investment,N/A,2021-02-26,true,Sale,
8327 29th St,University Place,WA,98466,Multifamily,530530723092,LN-22249951,https://www.loopnet.com/Listing/8327-29th-St-University-Place-WA/22249951/,799950,,C,1974,Investment,N/A,2021-02-26,true,Sale,
9402 Front St S,Lakewood,WA,98499,Land,530530718083,LN-18288967,https://www.loopnet.com/Listing/9402-Front-St-S-Lakewood-WA/18288967/,230000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
9321 S Tacoma Way,Lakewood,WA,98499,Retail,530530718083,LN-5650350,https://www.loopnet.com/Listing/9321-S-Tacoma-Way-Lakewood-WA/5650350/,1100000,2032,C,1947,Owner User,N/A,2021-02-26,true,Sale,
12505 Canyon Rd E,Puyallup,WA,98373,Land,530530713071,LN-20769216,https://www.loopnet.com/Listing/8113-John-Dower-Rd-SW-Lakewood-WA/20769216/,740520,,C,N/A,Investment,,,,,LN-21413607
2202 84th St S,Lakewood,WA,98499,Retail,530530718082,LN-21229870,https://www.loopnet.com/Listing/2202-84th-St-S-Lakewood-WA/21229870/,1499000,4995,B,2000,Investment or Owner User,N/A,2021-02-26,true,Sale,
5408 Steilacoom Blvd SW,Lakewood,WA,98499,Retail,530530718071,LN-11150078,https://www.loopnet.com/Listing/5408-Steilacoom-Blvd-SW-Lakewood-WA/11150078/,365000,4400,B,1927/1978,Owner User,N/A,2021-02-26,true,Sale,
11619 Pacific Hwy SW,Lakewood,WA,98499,Retail,530530718062,LN-14192655,https://www.loopnet.com/Listing/11619-Pacific-Hwy-SW-Lakewood-WA/14192655/,700000,4208,C,1963,Owner User,N/A,2021-02-26,true,Sale,
12111 Pacific Hwy S,Lakewood,WA,98499,Land,530530718061,LN-7336077,https://www.loopnet.com/Listing/12111-Pacific-Hwy-S-Lakewood-WA/7336077/,1350000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
10209 Bridgeport Way SW,Lakewood,WA,98499,Office,530530718052,LN-20432592,https://www.loopnet.com/Listing/10209-Bridgeport-Way-SW-Lakewood-WA/20432592/,2800000,14437,B,1980,Investment,N/A,2021-02-26,true,Sale,
6403-6413 Steilacoom Blvd SW,Lakewood,WA,98499,Retail,530530718034,LN-20205607,https://www.loopnet.com/Listing/6403-6413-Steilacoom-Blvd-SW-Lakewood-WA/20205607/,1250000,9982,C,1944,Investment or Owner User,N/A,2021-02-26,true,Sale,
758 Polk St S,Tacoma,WA,98444,MultifamilyMultifamilyApartments,530530717072,LN-22243531,https://www.loopnet.com/Listing/758-Polk-St-S-Tacoma-WA/22243531/,525000,,N/A,1941/2000,Investment,N/A,2021-02-26,true,Sale,
12811 Pacific Ave S,Tacoma,WA,98444,Retail,530530715041,LN-19627971,https://www.loopnet.com/Listing/12811-Pacific-Ave-S-Tacoma-WA/19627971/,1470000,575,C,2020,Investment,N/A,2021-02-26,true,Sale,
120 136th St S,Tacoma,WA,98444,Multifamily,530530715031,LN-21333154,https://www.loopnet.com/Listing/120-136th-St-S-Tacoma-WA/21333154/,7900000,,C,1969/2015,Investment,N/A,2021-02-26,true,Sale,
21509 Mountain Hwy E,Spanaway,WA,98387,Land,530530714112,LN-18181149,https://www.loopnet.com/Listing/21509-Mountain-Hwy-E-Spanaway-WA/18181149/,600000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
19406 Mountain Hwy E,Spanaway,WA,98387,Land,530530714102,LN-3945583,https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/,5400000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
18407 Pacific Ave S,Spanaway,WA,98387,Office,530530714101,LN-21481019,https://www.loopnet.com/Listing/18407-Pacific-Ave-S-Spanaway-WA/21481019/,2550000,24064,B,1985,Investment,N/A,2021-02-26,true,Sale,
18811 38th Ave E,Tacoma,WA,98446,Land,530530714063,LN-18181205,https://www.loopnet.com/Listing/18811-38th-Ave-E-Tacoma-WA/18181205/,495000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
12716 86th Ave E,Puyallup,WA,98373,Land,530530713071,LN-17692757,https://www.loopnet.com/Listing/12716-86th-Ave-E-Puyallup-WA/17692757/,1150000,,N/A,N/A,OwnerUser,N/A,2021-02-26,true,Sale,
12221 Shaw Rd,Puyallup,WA,98374,Land,530530712103,LN-16445283,https://www.loopnet.com/Listing/12221-Shaw-Rd-Puyallup-WA/16445283/,2300000,,N/A,N/A,OwnerUser,N/A,2021-02-26,true,Sale,
12116 109th Avenue Ct E,Puyallup,WA,98374,Multifamily,530530712081,LN-22145016,https://www.loopnet.com/Listing/12116-109th-Avenue-Ct-E-Puyallup-WA/22145016/,625000,,C,1991,Investment,N/A,2021-02-26,true,Sale,
10821 Valley Ave E,Puyallup,WA,98372,Land,530539400101,LN-20956338,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,2400000,,N/A,N/A,Investment,,,,,LN-15045697
1201 39th Ave SW,Puyallup,WA,98373,Land,530530712061,LN-20742136,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,2850000,,B,N/A,Investment,,,,,LN-/3828488
10615 Canyon Rd E,Puyallup,WA,98373,Land,530530712063,LN-21571284,https://www.loopnet.com/Listing/10615-Canyon-Rd-E-Puyallup-WA/21571284/,550000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
8217 S Hosmer St,Tacoma,WA,98408,Land,530530635014,LN-18710758,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,1190000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
6722 Yakima Ave,Tacoma,WA,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,530530631002,LN-18729587,https://www.loopnet.com/Listing/6722-Yakima-Ave-Tacoma-WA/18729587/,629900,3226,B,1920/1994,Investment or Owner User,N/A,2021-02-26,true,Sale,
3020 S Union Ave,Tacoma,WA,98409,Office,530530628011,LN-22087491,https://www.loopnet.com/Listing/3020-S-Union-Ave-Tacoma-WA/22087491/,1025000,3221,B,1966,Investment,N/A,2021-02-26,true,Sale,
3414 Pacific Ave,Tacoma,WA,98418,Retail,530530619001,LN-21548454,https://www.loopnet.com/Listing/3414-Pacific-Ave-Tacoma-WA/21548454/,500000,2604,C,1940,Owner User,N/A,2021-02-26,true,Sale,
3418 Pacific Ave,Tacoma,WA,98418,Retail,530530619001,LN-21948843,https://www.loopnet.com/Listing/3418-Pacific-Ave-Tacoma-WA/21948843/,340000,1473,B,1996,Owner User,N/A,2021-02-26,true,Sale,
3320 S G St,Tacoma,WA,98418,Retail,530530618001,LN-21816101,https://www.loopnet.com/Listing/3320-S-G-St-Tacoma-WA/21816101/,3000000,19199,C,1946,Owner User,N/A,2021-02-26,true,Sale,
1950 S State St,Tacoma,WA,98405,Flex,530530617005,LN-21099885,https://www.loopnet.com/Listing/1950-S-State-St-Tacoma-WA/21099885/,17250000,242000,B,1974,InvestmentorOwnerUser,N/A,2021-02-26,true,Sale,
