"Block.Group.ID","Average.Block.Group.Score","Population","Population..3.Miles","Households..3.Miles","Kids.under.5","Kids.under.5..3.Miles","Kids.5.to.9","Kids.5.to.9..3.Miles","Average.Age","Household.income.under.40K..3.Mile","Household.income.40K.to.50K..3.Mile","Household.income.50K.to.60K..3.Mile","Household.income.60K.to.75K..3.Mile","Household.income.75K.to.100K..3.Mile","Household.income.100K.to.125K..3.Mile","Household.income.125K.to.150K..3.Mile","Household.income.150K.to.200K..3.Mile","Household.income.200K...3.Mile","Predicted.Score"
530530735004,NA,968,49145,18072,0.021,0.072,0.105,0.06,42.8,0.197,0.096,0.089,0.111,0.138,0.131,0.079,0.089,0.069,4.19541680054244
530530735005,NA,930,53875,18795,0.035,0.072,0.032,0.064,50.6,0.21,0.081,0.08,0.112,0.155,0.126,0.086,0.09,0.062,3.96963978414837
530530735006,NA,1263,55030,20593,0.022,0.072,0.012,0.063,54.1,0.202,0.089,0.089,0.118,0.139,0.122,0.078,0.094,0.068,3.95303792555002
530539400011,NA,1652,56746,19902,0.065,0.062,0.032,0.06,46.1,0.194,0.088,0.074,0.098,0.148,0.133,0.096,0.094,0.075,4.06973072037686
530539400012,NA,1161,34102,13607,0.02,0.057,0.055,0.059,52.2,0.192,0.065,0.057,0.086,0.145,0.108,0.101,0.119,0.127,3.96417961438489
530539400021,NA,1497,54889,19079,0.067,0.07,0.063,0.066,40,0.229,0.07,0.082,0.112,0.173,0.115,0.075,0.085,0.06,4.31172817611853
530539400022,NA,996,52329,18702,0.124,0.067,0.063,0.07,32.2,0.324,0.08,0.088,0.114,0.147,0.092,0.058,0.057,0.041,4.5122482466659
530539400023,NA,1941,53432,19032,0.05,0.071,0.032,0.066,36.3,0.226,0.073,0.082,0.111,0.165,0.114,0.08,0.09,0.059,4.07702868273076
530539400031,NA,3542,45506,16424,0.102,0.066,0.123,0.079,31.1,0.282,0.081,0.089,0.105,0.149,0.113,0.063,0.071,0.046,4.51079522337374
530539400032,NA,2119,46603,16962,0.084,0.065,0.047,0.074,30,0.258,0.072,0.084,0.106,0.156,0.121,0.071,0.077,0.055,4.51075070914871
530539400033,NA,2121,45755,16443,0.088,0.066,0.093,0.077,28.5,0.268,0.075,0.077,0.105,0.156,0.12,0.068,0.076,0.055,4.51165151498694
530539400041,NA,892,64557,22698,0.048,0.065,0.031,0.069,48.6,0.283,0.1,0.096,0.103,0.146,0.109,0.055,0.067,0.04,3.91171368071721
530539400042,NA,588,85407,30172,0.102,0.069,0.029,0.074,42,0.317,0.103,0.095,0.118,0.146,0.091,0.045,0.053,0.03,4.48548065222146
530539400043,NA,882,61098,21466,0.019,0.073,0.083,0.073,52.5,0.321,0.088,0.09,0.104,0.153,0.098,0.053,0.053,0.042,3.92605382130054
530539400044,NA,1136,74167,26484,0.059,0.071,0.041,0.073,45.2,0.344,0.093,0.099,0.112,0.144,0.09,0.047,0.041,0.031,3.91938335036446
530539400045,NA,1282,77897,27738,0.016,0.072,0.068,0.076,48.7,0.326,0.101,0.1,0.107,0.148,0.093,0.047,0.046,0.031,3.89268068088293
530539400046,NA,1650,66354,23573,0.071,0.067,0.04,0.069,40.3,0.299,0.086,0.101,0.101,0.153,0.106,0.053,0.063,0.038,4.18558154215895
530539400051,NA,1653,80236,28573,0.071,0.068,0.036,0.061,37.7,0.244,0.08,0.082,0.119,0.158,0.112,0.076,0.074,0.056,4.14873883424145
530539400052,NA,1802,68862,24045,0.052,0.064,0.067,0.056,37.3,0.199,0.077,0.078,0.113,0.147,0.127,0.089,0.098,0.072,4.19164988250232
530539400053,NA,2600,81029,28680,0.086,0.066,0.065,0.06,36,0.237,0.082,0.078,0.112,0.14,0.117,0.082,0.085,0.067,4.37582814101503
530539400061,NA,1632,86136,31277,0.077,0.067,0.135,0.07,30.5,0.365,0.089,0.096,0.111,0.142,0.09,0.043,0.039,0.026,4.51068071264186
530539400062,NA,1647,87395,31034,0.09,0.072,0.152,0.076,24.1,0.343,0.098,0.097,0.114,0.146,0.091,0.044,0.04,0.027,4.51190264800509
530539400071,NA,933,90046,33932,0.047,0.062,0.08,0.069,35.9,0.378,0.091,0.088,0.107,0.141,0.091,0.04,0.039,0.024,4.48265236126589
530539400072,NA,1169,82382,30303,0.088,0.063,0.069,0.07,33.3,0.37,0.089,0.094,0.104,0.141,0.093,0.042,0.039,0.027,4.51095001978758
530539400073,NA,1075,83104,29620,0.089,0.067,0.113,0.068,30.3,0.358,0.087,0.098,0.108,0.144,0.093,0.043,0.041,0.028,4.51146324341303
530539400081,NA,2716,67638,23937,0.075,0.062,0.052,0.058,34.1,0.197,0.083,0.077,0.109,0.143,0.127,0.093,0.099,0.072,4.37309359767955
530539400082,NA,1654,73101,26048,0.075,0.064,0.088,0.059,35.3,0.213,0.083,0.076,0.11,0.141,0.122,0.089,0.094,0.071,4.50887079385488
530539400083,NA,1727,63035,21983,0.041,0.06,0.036,0.058,48.2,0.19,0.084,0.071,0.099,0.146,0.132,0.101,0.101,0.076,3.9822912197654
530539400091,NA,1912,52059,19758,0.023,0.061,0.067,0.064,44.7,0.235,0.079,0.084,0.099,0.164,0.122,0.07,0.085,0.062,3.94320899290175
530539400092,NA,1058,50833,18740,0.036,0.066,0.092,0.063,43.2,0.221,0.079,0.084,0.107,0.161,0.126,0.075,0.088,0.059,4.24038329094315
530539400101,NA,2229,58422,22689,0.086,0.061,0.075,0.062,29.7,0.25,0.084,0.087,0.12,0.157,0.111,0.059,0.082,0.05,4.51119563400184
530539400102,NA,1590,57060,22340,0.031,0.058,0.033,0.054,52.3,0.26,0.087,0.085,0.118,0.143,0.115,0.061,0.082,0.048,3.9606933809373
530539400103,NA,763,52896,20360,0.035,0.058,0.117,0.057,42.6,0.243,0.081,0.09,0.113,0.149,0.114,0.066,0.092,0.052,4.49103876717957
530539400111,NA,1492,58622,21757,0.059,0.059,0.044,0.057,44,0.207,0.09,0.068,0.105,0.15,0.125,0.087,0.094,0.075,4.19882376221429
530539400112,NA,1740,48494,17004,0.059,0.062,0.055,0.06,46.1,0.192,0.094,0.066,0.101,0.147,0.132,0.094,0.097,0.076,4.18032922493023
530539400113,NA,1067,41940,14767,0.041,0.062,0.028,0.056,51.9,0.172,0.076,0.061,0.096,0.146,0.134,0.105,0.114,0.095,3.9949464594856
530670101001,NA,632,57812,25523,0,0.051,0,0.047,68.8,0.346,0.094,0.075,0.105,0.132,0.089,0.069,0.046,0.043,3.97113133905085
530670101002,NA,954,66440,28987,0.032,0.047,0,0.052,39.6,0.318,0.094,0.087,0.099,0.142,0.102,0.066,0.049,0.043,4.12038931997025
530670101003,NA,771,65351,28584,0.112,0.047,0.009,0.051,38.1,0.317,0.094,0.085,0.097,0.145,0.103,0.067,0.05,0.042,4.5109907687992
530670101004,NA,969,63243,27688,0.056,0.048,0.098,0.052,37.9,0.319,0.097,0.087,0.095,0.147,0.101,0.065,0.051,0.038,4.51092972456659
530670102001,NA,1359,47246,21125,0.014,0.049,0.04,0.047,56.3,0.353,0.093,0.074,0.111,0.133,0.081,0.072,0.047,0.037,3.97319930652613
530670102002,NA,1265,63256,28051,0.021,0.05,0,0.052,38.8,0.345,0.093,0.085,0.105,0.127,0.091,0.068,0.048,0.037,4.01285219949848
530670102003,NA,2352,54928,24101,0.068,0.05,0.066,0.053,41.2,0.346,0.093,0.087,0.098,0.128,0.087,0.071,0.055,0.035,4.45851161522861
530670103001,NA,622,65690,28455,0.051,0.048,0,0.053,34,0.324,0.096,0.092,0.098,0.131,0.099,0.066,0.053,0.039,4.50671276298371
530670103002,NA,932,69473,29803,0.043,0.049,0.068,0.054,47.8,0.321,0.096,0.091,0.099,0.133,0.101,0.068,0.054,0.037,4.19945278210223
530670103003,NA,2692,66553,29352,0.02,0.049,0.056,0.05,32.1,0.329,0.096,0.091,0.095,0.138,0.101,0.065,0.048,0.038,4.12459527654715
530670103004,NA,993,63798,27013,0.125,0.049,0.073,0.054,28.6,0.314,0.092,0.089,0.103,0.134,0.103,0.069,0.057,0.038,4.51127806929393
530670104001,NA,1645,73241,31669,0.04,0.053,0.039,0.054,43.2,0.322,0.095,0.088,0.1,0.14,0.103,0.064,0.05,0.038,4.0082848075323
530670104002,NA,871,66068,28988,0.052,0.049,0.103,0.052,41.5,0.326,0.093,0.091,0.092,0.147,0.098,0.065,0.05,0.039,4.51019790322673
530670104003,NA,755,64752,28260,0.02,0.051,0.037,0.052,51.4,0.334,0.094,0.091,0.092,0.141,0.099,0.062,0.048,0.038,3.95924415153522
530670105101,NA,2812,46699,20628,0.058,0.047,0.052,0.044,41.8,0.343,0.092,0.081,0.106,0.131,0.091,0.062,0.05,0.042,4.15166351770067
530670105201,NA,2049,55506,24253,0.052,0.049,0.04,0.047,36.3,0.336,0.088,0.079,0.101,0.137,0.095,0.067,0.05,0.047,4.44402785753755
530670105202,NA,2145,56867,25023,0.104,0.047,0.037,0.046,25.6,0.339,0.088,0.079,0.1,0.133,0.098,0.067,0.051,0.046,4.51145041860842
530670105203,NA,584,64096,27607,0,0.049,0.038,0.049,57.8,0.325,0.088,0.079,0.097,0.142,0.101,0.068,0.051,0.049,3.96966147052058
530670105204,NA,1677,60137,26179,0.02,0.047,0,0.05,34.9,0.319,0.091,0.084,0.099,0.143,0.1,0.068,0.049,0.047,4.07332399258431
530670106001,NA,649,43612,19444,0.042,0.049,0,0.04,43.9,0.353,0.095,0.07,0.113,0.13,0.088,0.065,0.048,0.037,4.22472438155743
530670106002,NA,838,48169,21105,0.041,0.049,0.053,0.045,57.6,0.334,0.09,0.074,0.11,0.137,0.094,0.067,0.052,0.04,3.97541007138315
530670106003,NA,2018,49041,21436,0.122,0.049,0.078,0.044,25.3,0.334,0.087,0.076,0.106,0.138,0.096,0.067,0.054,0.042,4.51166338916358
530670106004,NA,1276,52776,23225,0.092,0.051,0.042,0.047,37.7,0.339,0.092,0.074,0.105,0.139,0.091,0.071,0.053,0.036,4.51108491497366
530670106005,NA,1506,54236,23669,0.021,0.05,0.035,0.047,31.3,0.332,0.089,0.075,0.104,0.142,0.091,0.071,0.052,0.045,4.46384140857161
530670107001,NA,3145,80147,33531,0.071,0.057,0.076,0.058,36.1,0.303,0.094,0.093,0.111,0.144,0.105,0.064,0.049,0.037,4.17136591088555
530670107002,NA,1531,74122,31424,0.064,0.051,0.108,0.055,34.9,0.305,0.094,0.087,0.105,0.136,0.109,0.069,0.059,0.037,4.51056265249951
530670107003,NA,1351,82455,35375,0.013,0.049,0.033,0.053,53.2,0.315,0.098,0.088,0.104,0.139,0.104,0.064,0.051,0.037,3.95595722478177
530670108001,NA,1250,64123,27652,0.022,0.051,0.056,0.056,43.2,0.293,0.094,0.091,0.103,0.147,0.106,0.064,0.057,0.045,4.0440255643062
530670108002,NA,882,60695,26262,0.036,0.047,0.053,0.052,47.3,0.304,0.095,0.09,0.098,0.143,0.105,0.064,0.055,0.046,4.17167368745746
530670108003,NA,1103,44573,18410,0.043,0.049,0.092,0.055,39.3,0.266,0.087,0.092,0.088,0.154,0.119,0.069,0.068,0.055,4.51045914461484
530670108004,NA,1121,43882,17999,0.038,0.046,0.021,0.056,48.9,0.265,0.088,0.093,0.088,0.152,0.112,0.073,0.072,0.057,4.041387656462
530670108005,NA,2248,20228,8132,0.047,0.04,0.069,0.057,40.5,0.266,0.073,0.085,0.101,0.15,0.112,0.06,0.09,0.064,4.49329895957349
