model_id,bg_geo_id,score,date_obtained
8,530530714063,4,2021-03-10
8,530530718061,5,2021-03-10
8,530530718071,5,2021-03-10
8,530530609062,4,2021-03-10
8,530530611006,4,2021-03-10
8,530530613001,5,2021-03-10
8,530530626001,4,2021-03-10
8,530530628011,5,2021-03-10
8,530530712103,4,2021-03-10
8,530530713071,4,2021-03-10
8,530530718031,5,2021-03-10
8,530530718052,5,2021-03-10
8,530530718083,5,2021-03-10
8,530530726022,4,2021-03-10
8,530530734052,4,2021-03-10
8,530530602001,4,2021-03-10
8,530530605003,4,2021-03-10
8,530530612004,4,2021-03-10
8,530530616011,4,2021-03-10
8,530530616021,4,2021-03-10
8,530530631002,4,2021-03-10
8,530530635014,3,2021-03-10
8,530530712071,4,2021-03-10
8,530530714112,5,2021-03-10
8,530530715041,4,2021-03-10
8,530530717051,4,2021-03-10
8,530530718034,4,2021-03-10
8,530530718062,5,2021-03-10
8,530530723112,5,2021-03-10
8,530530724071,4,2021-03-10
8,530530733022,4,2021-03-10
8,530530734063,5,2021-03-10
8,530530734072,5,2021-03-10
8,530530612001,5,2021-03-10
8,530530718072,4,2021-03-10
8,530530733012,4,2021-03-10
8,530530730061,4,2021-03-10
8,530330001001,4,2021-03-10
8,530330001002,4,2021-03-10
8,530330001003,4,2021-03-10
8,530330001004,4,2021-03-10
8,530330001005,4,2021-03-10
8,530330002001,4,2021-03-10
8,530330002002,4,2021-03-10
8,530330002003,4,2021-03-10
8,530330002004,4,2021-03-10
8,530330002005,4,2021-03-10
8,530330002006,4,2021-03-10
8,530330003001,4,2021-03-10
8,530330003002,4,2021-03-10
8,530330004011,4,2021-03-10
8,530330004012,4,2021-03-10
8,530330004013,4,2021-03-10
8,530330004021,4,2021-03-10
8,530330004022,4,2021-03-10
8,530330004023,4,2021-03-10
8,530330004024,4,2021-03-10
8,530330005001,4,2021-03-10
8,530330005002,4,2021-03-10
8,530330005003,4,2021-03-10
8,530330006001,4,2021-03-10
8,530330006002,4,2021-03-10
8,530330006003,5,2021-03-10
8,530330006004,4,2021-03-10
8,530330006005,4,2021-03-10
8,530330006006,4,2021-03-10
8,530330007001,4,2021-03-10
8,530330007002,4,2021-03-10
8,530330007003,4,2021-03-10
8,530330007004,4,2021-03-10
8,530330008001,4,2021-03-10
8,530330008002,4,2021-03-10
8,530330009001,4,2021-03-10
8,530330009002,4,2021-03-10
8,530330010001,5,2021-03-10
8,530330010002,3,2021-03-10
8,530330011001,4,2021-03-10
8,530330011002,4,2021-03-10
8,530330012001,4,2021-03-10
8,530330012002,4,2021-03-10
8,530330012003,4,2021-03-10
8,530330012004,4,2021-03-10
8,530330012005,4,2021-03-10
8,530330013001,4,2021-03-10
8,530330013002,4,2021-03-10
8,530330013003,4,2021-03-10
8,530330014001,4,2021-03-10
8,530330014002,4,2021-03-10
8,530330014003,4,2021-03-10
8,530330014004,4,2021-03-10
8,530330015001,4,2021-03-10
8,530330015002,4,2021-03-10
8,530330016001,3,2021-03-10
8,530330016002,4,2021-03-10
8,530330016003,4,2021-03-10
8,530330017011,4,2021-03-10
8,530330017012,4,2021-03-10
8,530330017013,4,2021-03-10
8,530330017021,4,2021-03-10
8,530330017022,4,2021-03-10
8,530330017023,4,2021-03-10
8,530330017024,4,2021-03-10
8,530330018001,4,2021-03-10
8,530330018002,4,2021-03-10
8,530330018003,4,2021-03-10
8,530330019001,4,2021-03-10
8,530330019002,4,2021-03-10
8,530330019003,4,2021-03-10
8,530330020001,4,2021-03-10
8,530330020002,4,2021-03-10
8,530330020003,4,2021-03-10
8,530330021001,4,2021-03-10
8,530330021002,4,2021-03-10
8,530330021003,4,2021-03-10
8,530330022001,4,2021-03-10
8,530330022002,4,2021-03-10
8,530330022003,4,2021-03-10
8,530330022004,4,2021-03-10
8,530330024001,4,2021-03-10
8,530330024002,4,2021-03-10
8,530330024003,4,2021-03-10
8,530330025001,3,2021-03-10
8,530330025002,4,2021-03-10
8,530330026001,4,2021-03-10
8,530330026002,4,2021-03-10
8,530330026003,4,2021-03-10
8,530330026004,3,2021-03-10
8,530330027001,4,2021-03-10
8,530330027002,4,2021-03-10
8,530330027003,4,2021-03-10
8,530330027004,4,2021-03-10
8,530330028001,4,2021-03-10
8,530330028002,4,2021-03-10
8,530330028003,4,2021-03-10
8,530330028004,4,2021-03-10
8,530330029001,4,2021-03-10
8,530330029002,4,2021-03-10
8,530330029003,4,2021-03-10
8,530330030001,4,2021-03-10
8,530330030002,4,2021-03-10
8,530330030003,4,2021-03-10
8,530330030004,3,2021-03-10
8,530330031001,3,2021-03-10
8,530330031002,4,2021-03-10
8,530330031003,4,2021-03-10
8,530330031004,4,2021-03-10
8,530330031005,4,2021-03-10
8,530330032001,4,2021-03-10
8,530330032002,4,2021-03-10
8,530330032003,4,2021-03-10
8,530330032004,4,2021-03-10
8,530330032005,4,2021-03-10
8,530330032006,3,2021-03-10
8,530330032007,4,2021-03-10
8,530330033001,4,2021-03-10
8,530330033002,4,2021-03-10
8,530330033003,4,2021-03-10
8,530330033004,4,2021-03-10
8,530330033005,4,2021-03-10
8,530330034001,4,2021-03-10
8,530330034002,4,2021-03-10
8,530330034003,4,2021-03-10
8,530330035001,4,2021-03-10
8,530330035002,4,2021-03-10
8,530330035003,3,2021-03-10
8,530330036001,4,2021-03-10
8,530330036002,3,2021-03-10
8,530330036003,3,2021-03-10
8,530330036004,4,2021-03-10
8,530330038001,4,2021-03-10
8,530330038002,4,2021-03-10
8,530330039001,3,2021-03-10
8,530330039002,3,2021-03-10
8,530330040001,4,2021-03-10
8,530330040002,4,2021-03-10
8,530330041001,4,2021-03-10
8,530330041002,3,2021-03-10
8,530330041003,4,2021-03-10
8,530330041004,4,2021-03-10
8,530330041005,5,2021-03-10
8,530330041006,4,2021-03-10
8,530330042001,3,2021-03-10
8,530330042002,4,2021-03-10
8,530330042003,4,2021-03-10
8,530330042004,4,2021-03-10
8,530330042005,3,2021-03-10
8,530330043011,5,2021-03-10
8,530330043012,3,2021-03-10
8,530330043013,4,2021-03-10
8,530330043021,4,2021-03-10
8,530330043022,4,2021-03-10
8,530330044001,4,2021-03-10
8,530330044002,4,2021-03-10
8,530330044003,4,2021-03-10
8,530330044004,4,2021-03-10
8,530330045001,4,2021-03-10
8,530330045002,4,2021-03-10
8,530330046001,4,2021-03-10
8,530330046002,4,2021-03-10
8,530330046003,3,2021-03-10
8,530330047001,3,2021-03-10
8,530330047002,4,2021-03-10
8,530330047003,4,2021-03-10
8,530330047004,4,2021-03-10
8,530330048001,4,2021-03-10
8,530330048002,3,2021-03-10
8,530330048003,4,2021-03-10
8,530330048004,3,2021-03-10
8,530330049001,4,2021-03-10
8,530330049002,4,2021-03-10
8,530330049003,4,2021-03-10
8,530330049004,4,2021-03-10
8,530330049005,4,2021-03-10
8,530330050001,4,2021-03-10
8,530330050002,3,2021-03-10
8,530330050003,4,2021-03-10
8,530330051001,4,2021-03-10
8,530330051002,4,2021-03-10
8,530330051003,4,2021-03-10
8,530330052001,4,2021-03-10
8,530330052002,4,2021-03-10
8,530330052003,4,2021-03-10
8,530330052004,4,2021-03-10
8,530330052005,4,2021-03-10
8,530330053011,3,2021-03-10
8,530330053012,4,2021-03-10
8,530330053013,4,2021-03-10
8,530330053014,4,2021-03-10
8,530330053021,4,2021-03-10
8,530330053022,4,2021-03-10
8,530330053023,4,2021-03-10
8,530330054001,4,2021-03-10
8,530330054002,4,2021-03-10
8,530330054003,3,2021-03-10
8,530330054004,4,2021-03-10
8,530330056001,4,2021-03-10
8,530330056002,4,2021-03-10
8,530330056003,4,2021-03-10
8,530330056004,4,2021-03-10
8,530330056005,4,2021-03-10
8,530330057001,5,2021-03-10
8,530330057002,4,2021-03-10
8,530330057003,4,2021-03-10
8,530330057004,4,2021-03-10
8,530330057005,4,2021-03-10
8,530330057006,4,2021-03-10
8,530330058011,4,2021-03-10
8,530330058012,4,2021-03-10
8,530330058013,4,2021-03-10
8,530330058014,4,2021-03-10
8,530330058021,4,2021-03-10
8,530330058022,4,2021-03-10
8,530330058023,4,2021-03-10
8,530330059001,4,2021-03-10
8,530330059002,4,2021-03-10
8,530330059003,4,2021-03-10
8,530330059004,3,2021-03-10
8,530330059005,3,2021-03-10
8,530330060001,4,2021-03-10
8,530330060002,3,2021-03-10
8,530330060003,4,2021-03-10
8,530330060004,4,2021-03-10
8,530330061001,4,2021-03-10
8,530330061002,4,2021-03-10
8,530330061003,4,2021-03-10
8,530330061004,4,2021-03-10
8,530330062001,4,2021-03-10
8,530330062002,4,2021-03-10
8,530330062003,4,2021-03-10
8,530330063001,4,2021-03-10
8,530330063002,4,2021-03-10
8,530330063003,4,2021-03-10
8,530330063004,3,2021-03-10
8,530330064001,4,2021-03-10
8,530330064002,4,2021-03-10
8,530330064003,4,2021-03-10
8,530330065001,4,2021-03-10
8,530330065002,4,2021-03-10
8,530330065003,3,2021-03-10
8,530330066001,4,2021-03-10
8,530330066002,4,2021-03-10
8,530330067001,4,2021-03-10
8,530330067002,4,2021-03-10
8,530330067003,4,2021-03-10
8,530330067004,4,2021-03-10
8,530330068001,3,2021-03-10
8,530330068002,3,2021-03-10
8,530330069001,4,2021-03-10
8,530330069002,3,2021-03-10
8,530330069003,4,2021-03-10
8,530330069004,4,2021-03-10
8,530330070001,4,2021-03-10
8,530330070002,4,2021-03-10
8,530330070003,4,2021-03-10
8,530330070004,4,2021-03-10
8,530330070005,4,2021-03-10
8,530330070006,4,2021-03-10
8,530330071001,4,2021-03-10
8,530330071002,4,2021-03-10
8,530330072001,3,2021-03-10
8,530330072002,4,2021-03-10
8,530330072003,4,2021-03-10
8,530330073001,4,2021-03-10
8,530330073002,4,2021-03-10
8,530330073003,4,2021-03-10
8,530330074011,4,2021-03-10
8,530330074012,4,2021-03-10
8,530330074013,4,2021-03-10
8,530330074014,4,2021-03-10
8,530330074021,4,2021-03-10
8,530330074022,4,2021-03-10
8,530330074023,4,2021-03-10
8,530330075001,4,2021-03-10
8,530330075002,4,2021-03-10
8,530330075003,4,2021-03-10
8,530330075004,4,2021-03-10
8,530330075005,4,2021-03-10
8,530330076001,4,2021-03-10
8,530330076002,4,2021-03-10
8,530330076003,4,2021-03-10
8,530330077001,3,2021-03-10
8,530330077002,4,2021-03-10
8,530330077003,4,2021-03-10
8,530330077004,4,2021-03-10
8,530330078001,4,2021-03-10
8,530330078002,4,2021-03-10
8,530330078003,3,2021-03-10
8,530330078004,4,2021-03-10
8,530330079001,4,2021-03-10
8,530330079002,4,2021-03-10
8,530330079003,4,2021-03-10
8,530330079004,4,2021-03-10
8,530330079005,4,2021-03-10
8,530330080011,4,2021-03-10
8,530330080012,4,2021-03-10
8,530330080013,4,2021-03-10
8,530330080014,4,2021-03-10
8,530330080015,4,2021-03-10
8,530330080021,4,2021-03-10
8,530330080022,4,2021-03-10
8,530330081001,4,2021-03-10
8,530330081002,4,2021-03-10
8,530330081003,4,2021-03-10
8,530330082001,4,2021-03-10
8,530330082002,4,2021-03-10
8,530330082003,4,2021-03-10
8,530330083001,4,2021-03-10
8,530330083002,4,2021-03-10
8,530330084001,4,2021-03-10
8,530330084002,4,2021-03-10
8,530330084003,4,2021-03-10
8,530330085001,4,2021-03-10
8,530330085002,4,2021-03-10
8,530330085003,4,2021-03-10
8,530330086001,4,2021-03-10
8,530330086002,4,2021-03-10
8,530330086003,4,2021-03-10
8,530330087001,4,2021-03-10
8,530330087002,4,2021-03-10
8,530330087003,4,2021-03-10
8,530330088001,4,2021-03-10
8,530330088002,4,2021-03-10
8,530330088003,4,2021-03-10
8,530330089001,4,2021-03-10
8,530330089002,3,2021-03-10
8,530330089003,4,2021-03-10
8,530330089004,4,2021-03-10
8,530330090001,4,2021-03-10
8,530330090002,4,2021-03-10
8,530330091001,4,2021-03-10
8,530330091002,4,2021-03-10
8,530330092001,4,2021-03-10
8,530330092002,4,2021-03-10
8,530330093001,4,2021-03-10
8,530330093002,4,2021-03-10
8,530330093003,4,2021-03-10
8,530330094001,3,2021-03-10
8,530330094002,4,2021-03-10
8,530330094003,4,2021-03-10
8,530330094004,4,2021-03-10
8,530330094005,3,2021-03-10
8,530330095001,4,2021-03-10
8,530330095002,4,2021-03-10
8,530330095003,4,2021-03-10
