"bg_geo_id","score","model_id","date_obtained"
"530330044001","4","11","2021-03-12"
"530330044002","4","11","2021-03-12"
"530330044003","4","11","2021-03-12"
"530330044004","4","11","2021-03-12"
"530330045001","4","11","2021-03-12"
"530330045002","4","11","2021-03-12"
"530330046001","3","11","2021-03-12"
"530330046002","3","11","2021-03-12"
"530330046003","3","11","2021-03-12"
"530330047001","3","11","2021-03-12"
"530330047002","4","11","2021-03-12"
"530330047003","3","11","2021-03-12"
"530330047004","3","11","2021-03-12"
"530330048001","3","11","2021-03-12"
"530330048002","3","11","2021-03-12"
"530330048003","3","11","2021-03-12"
"530330048004","3","11","2021-03-12"
"530330049001","3","11","2021-03-12"
"530330049002","4","11","2021-03-12"
"530330049003","4","11","2021-03-12"
"530330049004","4","11","2021-03-12"
"530330049005","4","11","2021-03-12"
"530330050001","4","11","2021-03-12"
"530330050002","4","11","2021-03-12"
"530330050003","4","11","2021-03-12"
"530330051001","3","11","2021-03-12"
"530330051002","3","11","2021-03-12"
"530330051003","3","11","2021-03-12"
"530330052001","4","11","2021-03-12"
"530330052002","4","11","2021-03-12"
"530330052003","3","11","2021-03-12"
"530330052004","4","11","2021-03-12"
"530330052005","4","11","2021-03-12"
"530330053011","4","11","2021-03-12"
"530330053012","4","11","2021-03-12"
"530330053013","4","11","2021-03-12"
"530330053014","4","11","2021-03-12"
"530330053021","4","11","2021-03-12"
"530330053022","4","11","2021-03-12"
"530330053023","4","11","2021-03-12"
"530330054001","3","11","2021-03-12"
"530330054002","3","11","2021-03-12"
"530330054003","4","11","2021-03-12"
"530330054004","4","11","2021-03-12"
"530330056001","3","11","2021-03-12"
"530330056002","3","11","2021-03-12"
"530330056003","2","11","2021-03-12"
"530330056004","3","11","2021-03-12"
"530330056005","3","11","2021-03-12"
"530330057001","3","11","2021-03-12"
"530330057002","2","11","2021-03-12"
"530330057003","3","11","2021-03-12"
"530330057004","3","11","2021-03-12"
"530330057005","3","11","2021-03-12"
"530330057006","3","11","2021-03-12"
"530330058011","4","11","2021-03-12"
"530330058012","3","11","2021-03-12"
"530330058013","3","11","2021-03-12"
"530330058014","3","11","2021-03-12"
"530330058021","3","11","2021-03-12"
"530330058022","4","11","2021-03-12"
"530330058023","3","11","2021-03-12"
"530330059001","4","11","2021-03-12"
"530330059002","3","11","2021-03-12"
"530330059003","4","11","2021-03-12"
"530330059004","3","11","2021-03-12"
