"model_id","bg_geo_id","score","date_obtained"
"3MS_KNN_v.2","530330024001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330024002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330024003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330025001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330025002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330026001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330026002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330026003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330026004","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330027001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330027002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330027003","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330027004","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330028001","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330028002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330028003","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330028004","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330029001","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330029002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330029003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330030001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330030002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330030003","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330030004","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330031001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330031002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330031003","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330031004","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330031005","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032002","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032004","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032005","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032006","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330032007","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330033001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330033002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330033003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330033004","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330033005","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330034001","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330034002","3","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330034003","4","Wed Mar 10 08:26:29 2021"
"3MS_KNN_v.2","530330035001","3","Wed Mar 10 08:26:29 2021"
