CS_ID,Address_Line,url,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Kids under 5: 3 Miles,Kids 5 to 9,Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
LN-11150078,5408 Steilacoom Blvd SW,https://www.loopnet.com/Listing/5408-Steilacoom-Blvd-SW-Lakewood-WA/11150078/,Lakewood,98499,Retail,1927/1978,365000,4400,83,Owner User,5.30531E+11,1941,102851,39157,274,8549,215,7152,25.6,0.382,0.109,0.105,0.112,0.122,0.07,0.049,0.033,0.019
20058903,1401 S Union Ave,https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/,Tacoma,98405,Office,1975,1750000,4886,358,Investment,5.30531E+11,718,123755,52855,17,7035,17,7618,51.4,0.35,0.094,0.078,0.102,0.129,0.097,0.052,0.054,0.043
LN-20058903,1401 S Union Ave,https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/,Tacoma,98405,Office,1975,1750000,4886,358,Investment,5.30531E+11,1049,114373,48383,132,6445,97,6685,34.2,0.354,0.095,0.076,0.103,0.129,0.091,0.053,0.056,0.042
LN-21229870,2202 84th St S,https://www.loopnet.com/Listing/2202-84th-St-S-Lakewood-WA/21229870/,Lakewood,98499,Retail,2000,1499000,4995,300,Investment or Owner User,5.30531E+11,1930,123348,47109,66,9210,78,8563,48.6,0.392,0.113,0.1,0.115,0.118,0.076,0.041,0.03,0.016
LN-17149505,5715 Wollochet Dr NW,https://www.loopnet.com/Listing/5715-Wollochet-Dr-NW-Gig-Harbor-WA/17149505/,Gig Harbor,98335,Office,1992,997950,6000,166,Owner User,5.30531E+11,1853,27355,10629,99,1288,99,1408,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127
LN-18591703,5601 Soundview Dr,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,Gig Harbor,98335,Retail,1982,1780000,6686,266,Owner User,5.30531E+11,1853,27355,10629,99,1288,99,1408,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127
21058749,4201 S Steele St,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,Tacoma,98409,Retail,1993,3300000,6737,490,Owner User,5.30531E+11,2261,142235,55505,167,9705,125,8895,34.9,0.36,0.103,0.093,0.104,0.133,0.093,0.049,0.041,0.025
LN-20205607,6403-6413 Steilacoom Blvd SW,https://www.loopnet.com/Listing/6403-6413-Steilacoom-Blvd-SW-Lakewood-WA/20205607/,Lakewood,98499,Retail,1944,1250000,9982,125,Investment or Owner User,5.30531E+11,660,97625,38336,52,7374,0,6287,42.3,0.359,0.099,0.1,0.109,0.127,0.081,0.058,0.039,0.027
20956338,4404 S Meridian,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,Puyallup,98373,Retail,2002,6230000,14355,434,Investment,5.30531E+11,2397,84205,31551,170,5078,124,4625,29.3,0.25,0.088,0.077,0.123,0.139,0.116,0.071,0.083,0.054
LN-20432592,10209 Bridgeport Way SW,https://www.loopnet.com/Listing/10209-Bridgeport-Way-SW-Lakewood-WA/20432592/,Lakewood,98499,Office,1980,2800000,14437,194,Investment,5.30531E+11,1222,94621,36064,145,7901,56,6277,33.4,0.396,0.106,0.107,0.114,0.117,0.07,0.047,0.027,0.017
