"","","all.predict"
"1",5.3033e+11,2
"2",5.3033e+11,2
"3",5.3033e+11,2
"4",5.3033e+11,2
"5",5.3033e+11,2
"6",5.3033e+11,2
"7",5.3033e+11,2
"8",5.3033e+11,2
"9",5.3033e+11,2
"10",5.3033e+11,2
"11",5.3033e+11,2
"12",5.3033e+11,2
"13",5.3033e+11,2
"14",5.3033e+11,2
"15",5.3033e+11,2
"16",5.3033e+11,2
"17",5.3033e+11,2
"18",5.3033e+11,2
"19",5.3033e+11,2
"20",5.3033e+11,2
"21",5.3033e+11,2
"22",5.3033e+11,2
"23",5.3033e+11,2
"24",5.3033e+11,2
"25",5.3033e+11,2
"26",5.3033e+11,2
"27",5.3033e+11,2
"28",5.3033e+11,2
"29",5.3033e+11,2
"30",5.3033e+11,2
"31",5.3033e+11,2
"32",5.3033e+11,2
"33",5.3033e+11,2
"34",5.3033e+11,2
"35",5.3033e+11,2
"36",5.3033e+11,2
"37",5.3033e+11,2
"38",5.3033e+11,2
"39",5.3033e+11,2
"40",5.3033e+11,2
"41",5.3033e+11,2
"42",5.3033e+11,2
"43",5.3033e+11,2
"44",5.3033e+11,2
"45",5.3033e+11,2
"46",5.3033e+11,2
"47",5.3033e+11,2
"48",5.3033e+11,2
"49",5.3033e+11,2
"50",5.3033e+11,2
"51",5.3033e+11,2
"52",5.3033e+11,2
"53",5.3033e+11,2
"54",5.3033e+11,2
"55",5.3033e+11,3
"56",5.3033e+11,2
"57",5.3033e+11,2
"58",5.3033e+11,2
"59",5.3033e+11,2
"60",5.3033e+11,2
"61",5.3033e+11,2
"62",5.3033e+11,2
"63",5.3033e+11,2
"64",5.3033e+11,2
"65",5.3033e+11,2
"66",5.3033e+11,2
"67",5.3033e+11,2
"68",5.3033e+11,2
"69",5.3033e+11,2
"70",5.3033e+11,2
"71",5.3033e+11,2
"72",5.3033e+11,2
"73",5.3033e+11,2
"74",5.3033e+11,2
"75",5.3033e+11,2
"76",5.3033e+11,2
"77",5.3033e+11,2
"78",5.3033e+11,2
"79",5.3033e+11,2
"80",5.3033e+11,2
"81",5.3033e+11,2
"82",5.3033e+11,2
"83",5.3033e+11,2
"84",5.3033e+11,2
"85",5.3033e+11,2
"86",5.3033e+11,2
"87",5.3033e+11,2
"88",5.3033e+11,2
"89",5.3033e+11,2
"90",5.3033e+11,2
"91",5.3033e+11,2
"92",5.3033e+11,2
"93",5.3033e+11,2
"94",5.3033e+11,2
"95",5.3033e+11,2
"96",5.3033e+11,2
"97",5.3033e+11,2
"98",5.3033e+11,2
"99",5.3033e+11,2
"100",5.3033e+11,2
"101",5.3033e+11,2
"102",5.3033e+11,2
"103",5.3033e+11,2
"104",5.3033e+11,2
"105",5.3033e+11,2
"106",5.3033e+11,3
"107",5.3033e+11,3
"108",5.3033e+11,3
"109",5.3033e+11,3
"110",5.3033e+11,3
"111",5.3033e+11,3
"112",5.3033e+11,3
"113",5.3033e+11,3
"114",5.3033e+11,3
"115",5.3033e+11,3
"116",5.3033e+11,3
"117",5.3033e+11,3
"118",5.3033e+11,2
"119",5.3033e+11,2
"120",5.3033e+11,3
"121",5.3033e+11,3
"122",5.3033e+11,3
"123",5.3033e+11,2
"124",5.3033e+11,2
"125",5.3033e+11,2
"126",5.3033e+11,2
"127",5.3033e+11,2
"128",5.3033e+11,2
"129",5.3033e+11,2
"130",5.3033e+11,2
"131",5.3033e+11,2
"132",5.3033e+11,2
"133",5.3033e+11,2
"134",5.3033e+11,2
"135",5.3033e+11,2
"136",5.3033e+11,2
"137",5.3033e+11,2
"138",5.3033e+11,2
"139",5.3033e+11,2
"140",5.3033e+11,2
"141",5.3033e+11,2
