"","","all.predict"
"142",5.3033e+11,2
"143",5.3033e+11,2
"144",5.3033e+11,2
"145",5.3033e+11,2
"146",5.3033e+11,2
"147",5.3033e+11,2
"148",5.3033e+11,2
"149",5.3033e+11,2
"150",5.3033e+11,2
"151",5.3033e+11,2
"152",5.3033e+11,2
"153",5.3033e+11,2
"154",5.3033e+11,2
"155",5.3033e+11,2
"156",5.3033e+11,2
"157",5.3033e+11,2
"158",5.3033e+11,2
"159",5.3033e+11,2
"160",5.3033e+11,2
"161",5.3033e+11,2
"162",5.3033e+11,2
"163",5.3033e+11,2
"164",5.3033e+11,2
"165",5.3033e+11,2
"166",5.3033e+11,3
"167",5.3033e+11,3
"168",5.3033e+11,2
"169",5.3033e+11,2
"170",5.3033e+11,2
"171",5.3033e+11,2
"172",5.3033e+11,2
"173",5.3033e+11,2
"174",5.3033e+11,2
"175",5.3033e+11,2
"176",5.3033e+11,2
"177",5.3033e+11,2
"178",5.3033e+11,2
"179",5.3033e+11,2
"180",5.3033e+11,2
"181",5.3033e+11,2
"182",5.3033e+11,2
"183",5.3033e+11,2
"184",5.3033e+11,2
"185",5.3033e+11,2
"186",5.3033e+11,2
"187",5.3033e+11,2
"188",5.3033e+11,2
"189",5.3033e+11,2
"190",5.3033e+11,2
"191",5.3033e+11,2
"192",5.3033e+11,2
"193",5.3033e+11,2
"194",5.3033e+11,2
"195",5.3033e+11,2
"196",5.3033e+11,2
"197",5.3033e+11,2
"198",5.3033e+11,2
"199",5.3033e+11,3
"200",5.3033e+11,3
"201",5.3033e+11,3
"202",5.3033e+11,3
"203",5.3033e+11,3
"204",5.3033e+11,2
"205",5.3033e+11,3
"206",5.3033e+11,3
"207",5.3033e+11,3
"208",5.3033e+11,3
"209",5.3033e+11,3
"210",5.3033e+11,3
"211",5.3033e+11,3
"212",5.3033e+11,3
"213",5.3033e+11,3
"214",5.3033e+11,3
"215",5.3033e+11,2
"216",5.3033e+11,2
"217",5.3033e+11,2
"218",5.3033e+11,2
"219",5.3033e+11,2
"220",5.3033e+11,2
"221",5.3033e+11,2
"222",5.3033e+11,2
"223",5.3033e+11,2
"224",5.3033e+11,2
"225",5.3033e+11,2
"226",5.3033e+11,2
"227",5.3033e+11,2
"228",5.3033e+11,2
"229",5.3033e+11,2
"230",5.3033e+11,2
"231",5.3033e+11,2
"232",5.3033e+11,2
"233",5.3033e+11,2
"234",5.3033e+11,2
"235",5.3033e+11,2
"236",5.3033e+11,2
"237",5.3033e+11,2
"238",5.3033e+11,2
"239",5.3033e+11,2
"240",5.3033e+11,2
"241",5.3033e+11,2
"242",5.3033e+11,2
"243",5.3033e+11,2
"244",5.3033e+11,2
"245",5.3033e+11,2
"246",5.3033e+11,2
"247",5.3033e+11,2
"248",5.3033e+11,2
"249",5.3033e+11,2
"250",5.3033e+11,2
"251",5.3033e+11,2
"252",5.3033e+11,2
"253",5.3033e+11,2
"254",5.3033e+11,2
"255",5.3033e+11,2
"256",5.3033e+11,2
"257",5.3033e+11,2
"258",5.3033e+11,2
"259",5.3033e+11,2
"260",5.3033e+11,2
"261",5.3033e+11,2
"262",5.3033e+11,2
"263",5.3033e+11,2
"264",5.3033e+11,2
"265",5.3033e+11,2
"266",5.3033e+11,2
"267",5.3033e+11,2
"268",5.3033e+11,2
"269",5.3033e+11,2
"270",5.3033e+11,2
"271",5.3033e+11,2
"272",5.3033e+11,2
"273",5.3033e+11,2
"274",5.3033e+11,2
"275",5.3033e+11,2
"276",5.3033e+11,2
"277",5.3033e+11,2
"278",5.3033e+11,2
"279",5.3033e+11,2
"280",5.3033e+11,2
"281",5.3033e+11,2
"282",5.3033e+11,2
"283",5.3033e+11,2
"284",5.3033e+11,2
"285",5.3033e+11,2
"286",5.3033e+11,2
"287",5.3033e+11,2
"288",5.3033e+11,2
"289",5.3033e+11,2
"290",5.3033e+11,2
"291",5.3033e+11,2
"292",5.3033e+11,2
"293",5.3033e+11,2
"294",5.3033e+11,2
"295",5.3033e+11,2
"296",5.3033e+11,2
"297",5.3033e+11,2
"298",5.3033e+11,2
"299",5.3033e+11,2
"300",5.3033e+11,2
"301",5.3033e+11,2
"302",5.3033e+11,2
"303",5.3033e+11,2
"304",5.3033e+11,2
"305",5.3033e+11,2
"306",5.3033e+11,2
"307",5.3033e+11,2
"308",5.3033e+11,2
"309",5.3033e+11,2
"310",5.3033e+11,2
"311",5.3033e+11,2
"312",5.3033e+11,2
"313",5.3033e+11,2
"314",5.3033e+11,2
"315",5.3033e+11,2
"316",5.3033e+11,2
"317",5.3033e+11,2
"318",5.3033e+11,2
"319",5.3033e+11,2
"320",5.3033e+11,2
"321",5.3033e+11,2
"322",5.3033e+11,2
"323",5.3033e+11,2
"324",5.3033e+11,2
"325",5.3033e+11,2
"326",5.3033e+11,2
"327",5.3033e+11,2
"328",5.3033e+11,2
"329",5.3033e+11,2
"330",5.3033e+11,2
"331",5.3033e+11,2
"332",5.3033e+11,2
"333",5.3033e+11,2
"334",5.3033e+11,2
"335",5.3033e+11,2
"336",5.3033e+11,2
"337",5.3033e+11,2
"338",5.3033e+11,2
"339",5.3033e+11,2
"340",5.3033e+11,2
"341",5.3033e+11,2
"342",5.3033e+11,2
"343",5.3033e+11,2
"344",5.3033e+11,2
"345",5.3033e+11,2
"346",5.3033e+11,2
"347",5.3033e+11,2
"348",5.3033e+11,2
"349",5.3033e+11,2
"350",5.3033e+11,2
"351",5.3033e+11,2
"352",5.3033e+11,2
"353",5.3033e+11,2
"354",5.3033e+11,2
"355",5.3033e+11,2
"356",5.3033e+11,2
"357",5.3033e+11,2
"358",5.3033e+11,2
"359",5.3033e+11,2
"360",5.3033e+11,2
"361",5.3033e+11,2
"362",5.3033e+11,2
"363",5.3033e+11,2
"364",5.3033e+11,2
"365",5.3033e+11,2
"366",5.3033e+11,2
"367",5.3033e+11,2
"368",5.3033e+11,2
"369",5.3033e+11,2
"370",5.3033e+11,2
"371",5.3033e+11,2
"372",5.3033e+11,2
"373",5.3033e+11,2
"374",5.3033e+11,2
"375",5.3033e+11,2
"376",5.3033e+11,2
"377",5.3033e+11,2
"378",5.3033e+11,2
"379",5.3033e+11,2
"380",5.3033e+11,2
"381",5.3033e+11,2
"382",5.3033e+11,2
"383",5.3033e+11,2
"384",5.3033e+11,2
"385",5.3033e+11,2
"386",5.3033e+11,2
"387",5.3033e+11,2
"388",5.3033e+11,2
"389",5.3033e+11,2
"390",5.3033e+11,2
"391",5.3033e+11,2
"392",5.3033e+11,2
"393",5.3033e+11,2
"394",5.3033e+11,2
"395",5.3033e+11,2
"396",5.3033e+11,2
"397",5.3033e+11,2
"398",5.3033e+11,2
"399",5.3033e+11,2
"400",5.3033e+11,2
"401",5.3033e+11,2
"402",5.3033e+11,2
"403",5.3033e+11,2
"404",5.3033e+11,2
"405",5.3033e+11,2
"406",5.3033e+11,2
"407",5.3033e+11,2
"408",5.3033e+11,2
"409",5.3033e+11,2
"410",5.3033e+11,2
"411",5.3033e+11,2
"412",5.3033e+11,2
"413",5.3033e+11,2
"414",5.3033e+11,2
"415",5.3033e+11,2
"416",5.3033e+11,2
"417",5.3033e+11,2
"418",5.3033e+11,2
"419",5.3033e+11,2
"420",5.3033e+11,2
"421",5.3033e+11,2
"422",5.3033e+11,2
"423",5.3033e+11,2
"424",5.3033e+11,2
"425",5.3033e+11,2
"426",5.3033e+11,2
"427",5.3033e+11,2
"428",5.3033e+11,2
"429",5.3033e+11,2
"430",5.3033e+11,2
"431",5.3033e+11,2
"432",5.3033e+11,2
"433",5.3033e+11,2
"434",5.3033e+11,2
"435",5.3033e+11,2
"436",5.3033e+11,2
"437",5.3033e+11,2
"438",5.3033e+11,2
"439",5.3033e+11,2
"440",5.3033e+11,2
"441",5.3033e+11,2
"442",5.3033e+11,2
"443",5.3033e+11,2
"444",5.3033e+11,2
"445",5.3033e+11,2
"446",5.3033e+11,2
"447",5.3033e+11,2
"448",5.3033e+11,2
"449",5.3033e+11,2
"450",5.3033e+11,2
"451",5.3033e+11,2
"452",5.3033e+11,2
"453",5.3033e+11,2
"454",5.3033e+11,2
"455",5.3033e+11,2
"456",5.3033e+11,2
"457",5.3033e+11,2
"458",5.3033e+11,2
"459",5.3033e+11,2
"460",5.3033e+11,2
"461",5.3033e+11,2
"462",5.3033e+11,2
"463",5.3033e+11,2
"464",5.3033e+11,2
"465",5.3033e+11,2
"466",5.3033e+11,2
"467",5.3033e+11,2
"468",5.3033e+11,2
"469",5.3033e+11,2
"470",5.3033e+11,2
"471",5.3033e+11,2
"472",5.3033e+11,2
"473",5.3033e+11,2
"474",5.3033e+11,2
"475",5.3033e+11,2
"476",5.3033e+11,2
"477",5.3033e+11,2
"478",5.3033e+11,2
"479",5.3033e+11,2
"480",5.3033e+11,2
"481",5.3033e+11,2
"482",5.3033e+11,2
"483",5.3033e+11,2
"484",5.3033e+11,2
"485",5.3033e+11,2
"486",5.3033e+11,2
"487",5.3033e+11,2
"488",5.3033e+11,2
"489",5.3033e+11,2
"490",5.3033e+11,2
"491",5.3033e+11,2
"492",5.3033e+11,2
"493",5.3033e+11,2
"494",5.3033e+11,2
"495",5.3033e+11,2
"496",5.3033e+11,2
"497",5.3033e+11,2
"498",5.3033e+11,2
"499",5.3033e+11,2
"500",5.3033e+11,2
"501",5.3033e+11,2
"502",5.3033e+11,2
"503",5.3033e+11,2
"504",5.3033e+11,2
"505",5.3033e+11,2
"506",5.3033e+11,2
"507",5.3033e+11,2
"508",5.3033e+11,2
"509",5.3033e+11,2
"510",5.3033e+11,2
"511",5.3033e+11,2
"512",5.3033e+11,2
"513",5.3033e+11,2
"514",5.3033e+11,2
"515",5.3033e+11,2
"516",5.3033e+11,2
"517",5.3033e+11,2
"518",5.3033e+11,2
"519",5.3033e+11,2
"520",5.3033e+11,2
"521",5.3033e+11,2
"522",5.3033e+11,2
"523",5.3033e+11,2
"524",5.3033e+11,2
"525",5.3033e+11,2
"526",5.3033e+11,2
"527",5.3033e+11,2
"528",5.3033e+11,2
"529",5.3033e+11,2
"530",5.3033e+11,2
"531",5.3033e+11,2
"532",5.3033e+11,2
"533",5.3033e+11,2
"534",5.3033e+11,2
"535",5.3033e+11,2
"536",5.3033e+11,2
"537",5.3033e+11,3
"538",5.3033e+11,3
"539",5.3033e+11,3
"540",5.3033e+11,3
"541",5.3033e+11,3
"542",5.3033e+11,3
"543",5.3033e+11,3
"544",5.3033e+11,3
"545",5.3033e+11,3
"546",5.3033e+11,2
"547",5.3033e+11,3
"548",5.3033e+11,2
"549",5.3033e+11,3
"550",5.3033e+11,3
"551",5.3033e+11,3
"552",5.3033e+11,3
"553",5.3033e+11,3
"554",5.3033e+11,3
"555",5.3033e+11,3
"556",5.3033e+11,3
"557",5.3033e+11,3
"558",5.3033e+11,3
"559",5.3033e+11,3
"560",5.3033e+11,3
"561",5.3033e+11,3
"562",5.3033e+11,3
"563",5.3033e+11,3
"564",5.3033e+11,3
"565",5.3033e+11,3
"566",5.3033e+11,3
"567",5.3033e+11,3
"568",5.3033e+11,3
"569",5.3033e+11,3
"570",5.3033e+11,3
"571",5.3033e+11,3
"572",5.3033e+11,3
"573",5.3033e+11,3
"574",5.3033e+11,3
"575",5.3033e+11,3
"576",5.3033e+11,3
"577",5.3033e+11,3
"578",5.3033e+11,3
"579",5.3033e+11,3
"580",5.3033e+11,3
"581",5.3033e+11,3
"582",5.3033e+11,3
"583",5.3033e+11,3
"584",5.3033e+11,3
"585",5.3033e+11,3
"586",5.3033e+11,3
"587",5.3033e+11,2
"588",5.3033e+11,3
"589",5.3033e+11,2
"590",5.3033e+11,3
"591",5.3033e+11,3
"592",5.3033e+11,3
"593",5.3033e+11,3
"594",5.3033e+11,3
"595",5.3033e+11,3
"596",5.3033e+11,2
"597",5.3033e+11,2
"598",5.3033e+11,3
"599",5.3033e+11,3
"600",5.3033e+11,3
"601",5.3033e+11,3
"602",5.3033e+11,3
"603",5.3033e+11,3
"604",5.3033e+11,3
"605",5.3033e+11,3
"606",5.3033e+11,2
"607",5.3033e+11,3
"608",5.3033e+11,3
"609",5.3033e+11,3
"610",5.3033e+11,3
"611",5.3033e+11,3
"612",5.3033e+11,3
"613",5.3033e+11,3
"614",5.3033e+11,3
"615",5.3033e+11,3
"616",5.3033e+11,3
"617",5.3033e+11,3
"618",5.3033e+11,3
"619",5.3033e+11,3
"620",5.3033e+11,3
"621",5.3033e+11,3
"622",5.3033e+11,3
"623",5.3033e+11,3
"624",5.3033e+11,3
"625",5.3033e+11,3
"626",5.3033e+11,3
"627",5.3033e+11,3
"628",5.3033e+11,3
"629",5.3033e+11,3
"630",5.3033e+11,3
"631",5.3033e+11,3
"632",5.3033e+11,3
"633",5.3033e+11,3
"634",5.3033e+11,3
"635",5.3033e+11,3
"636",5.3033e+11,3
"637",5.3033e+11,3
"638",5.3033e+11,3
"639",5.3033e+11,3
"640",5.3033e+11,3
"641",5.3033e+11,3
"642",5.3033e+11,2
"643",5.3033e+11,2
"644",5.3033e+11,2
"645",5.3033e+11,3
"646",5.3033e+11,3
"647",5.3033e+11,3
"648",5.3033e+11,3
"649",5.3033e+11,3
"650",5.3033e+11,2
"651",5.3033e+11,2
"652",5.3033e+11,2
"653",5.3033e+11,2
"654",5.3033e+11,2
"655",5.3033e+11,3
"656",5.3033e+11,3
"657",5.3033e+11,2
"658",5.3033e+11,2
"659",5.3033e+11,2
"660",5.3033e+11,2
"661",5.3033e+11,2
"662",5.3033e+11,2
"663",5.3033e+11,2
"664",5.3033e+11,2
"665",5.3033e+11,2
"666",5.3033e+11,2
"667",5.3033e+11,2
"668",5.3033e+11,2
"669",5.3033e+11,2
"670",5.3033e+11,2
"671",5.3033e+11,2
"672",5.3033e+11,2
"673",5.3033e+11,2
"674",5.3033e+11,2
"675",5.3033e+11,2
"676",5.3033e+11,2
"677",5.3033e+11,2
"678",5.3033e+11,2
"679",5.3033e+11,2
"680",5.3033e+11,2
"681",5.3033e+11,2
"682",5.3033e+11,2
"683",5.3033e+11,2
"684",5.3033e+11,2
"685",5.3033e+11,2
"686",5.3033e+11,2
"687",5.3033e+11,2
"688",5.3033e+11,2
"689",5.3033e+11,2
"690",5.3033e+11,2
"691",5.3033e+11,2
"692",5.3033e+11,2
"693",5.3033e+11,2
"694",5.3033e+11,2
"695",5.3033e+11,2
"696",5.3033e+11,2
"697",5.3033e+11,2
"698",5.3033e+11,2
"699",5.3033e+11,2
"700",5.3033e+11,2
"701",5.3033e+11,2
"702",5.3033e+11,2
"703",5.3033e+11,2
"704",5.3033e+11,2
"705",5.3033e+11,2
"706",5.3033e+11,2
"707",5.3033e+11,2
"708",5.3033e+11,2
"709",5.3033e+11,2
"710",5.3033e+11,3
"711",5.3033e+11,2
"712",5.3033e+11,2
"713",5.3033e+11,2
"714",5.3033e+11,2
"715",5.3033e+11,2
"716",5.3033e+11,2
"717",5.3033e+11,2
"718",5.3033e+11,2
"719",5.3033e+11,2
"720",5.3033e+11,2
"721",5.3033e+11,2
"722",5.3033e+11,2
"723",5.3033e+11,2
"724",5.3033e+11,2
"725",5.3033e+11,2
"726",5.3033e+11,2
"727",5.3033e+11,2
"728",5.3033e+11,2
"729",5.3033e+11,2
"730",5.3033e+11,2
"731",5.3033e+11,2
"732",5.3033e+11,2
"733",5.3033e+11,2
"734",5.3033e+11,2
"735",5.3033e+11,2
"736",5.3033e+11,2
"737",5.3033e+11,2
"738",5.3033e+11,2
"739",5.3033e+11,2
"740",5.3033e+11,2
"741",5.3033e+11,2
"742",5.3033e+11,2
"743",5.3033e+11,3
"744",5.3033e+11,2
"745",5.3033e+11,2
"746",5.3033e+11,2
"747",5.3033e+11,2
"748",5.3033e+11,2
"749",5.3033e+11,2
"750",5.3033e+11,2
"751",5.3033e+11,2
"752",5.3033e+11,2
"753",5.3033e+11,2
"754",5.3033e+11,2
"755",5.3033e+11,2
"756",5.3033e+11,2
"757",5.3033e+11,2
"758",5.3033e+11,2
"759",5.3033e+11,2
"760",5.3033e+11,2
"761",5.3033e+11,2
"762",5.3033e+11,2
"763",5.3033e+11,2
"764",5.3033e+11,2
"765",5.3033e+11,2
"766",5.3033e+11,2
"767",5.3033e+11,2
"768",5.3033e+11,2
"769",5.3033e+11,2
"770",5.3033e+11,2
"771",5.3033e+11,2
"772",5.3033e+11,2
"773",5.3033e+11,2
"774",5.3033e+11,2
"775",5.3033e+11,2
"776",5.3033e+11,2
"777",5.3033e+11,2
"778",5.3033e+11,2
"779",5.3033e+11,2
"780",5.3033e+11,2
"781",5.3033e+11,2
"782",5.3033e+11,2
"783",5.3033e+11,2
"784",5.3033e+11,2
"785",5.3033e+11,2
"786",5.3033e+11,2
"787",5.3033e+11,2
"788",5.3033e+11,2
"789",5.3033e+11,2
"790",5.3033e+11,2
"791",5.3033e+11,2
"792",5.3033e+11,2
"793",5.3033e+11,2
"794",5.3033e+11,2
"795",5.3033e+11,2
"796",5.3033e+11,2
"797",5.3033e+11,2
"798",5.3033e+11,2
"799",5.3033e+11,2
"800",5.3033e+11,2
"801",5.3033e+11,2
"802",5.3033e+11,2
"803",5.3033e+11,2
"804",5.3033e+11,2
"805",5.3033e+11,2
"806",5.3033e+11,2
"807",5.3033e+11,2
"808",5.3033e+11,2
"809",5.3033e+11,2
"810",5.3033e+11,2
"811",5.3033e+11,2
"812",5.3033e+11,2
"813",5.3033e+11,2
"814",5.3033e+11,2
"815",5.3033e+11,2
"816",5.3033e+11,2
"817",5.3033e+11,2
"818",5.3033e+11,2
"819",5.3033e+11,2
"820",5.3033e+11,2
"821",5.3033e+11,2
"822",5.3033e+11,2
"823",5.3033e+11,2
"824",5.3033e+11,2
"825",5.3033e+11,2
"826",5.3033e+11,2
"827",5.3033e+11,2
"828",5.3033e+11,2
"829",5.3033e+11,2
"830",5.3033e+11,2
"831",5.3033e+11,2
"832",5.3033e+11,2
"833",5.3033e+11,2
"834",5.3033e+11,2
"835",5.3033e+11,2
"836",5.3033e+11,2
"837",5.3033e+11,2
"838",5.3033e+11,2
"839",5.3033e+11,2
"840",5.3033e+11,2
"841",5.3033e+11,2
"842",5.3033e+11,2
"843",5.3033e+11,2
"844",5.3033e+11,2
"845",5.3033e+11,2
"846",5.3033e+11,2
"847",5.3033e+11,2
"848",5.3033e+11,2
"849",5.3033e+11,2
"850",5.3033e+11,2
"851",5.3033e+11,2
"852",5.3033e+11,2
"853",5.3033e+11,2
"854",5.3033e+11,2
"855",5.3033e+11,2
"856",5.3033e+11,2
"857",5.3033e+11,2
"858",5.3033e+11,2
"859",5.3033e+11,2
"860",5.3033e+11,2
"861",5.3033e+11,2
"862",5.3033e+11,2
"863",5.3033e+11,2
"864",5.3033e+11,2
"865",5.3033e+11,2
"866",5.3033e+11,2
"867",5.3033e+11,2
"868",5.3033e+11,2
"869",5.3033e+11,2
"870",5.3033e+11,2
"871",5.3033e+11,2
"872",5.3033e+11,2
"873",5.3033e+11,2
"874",5.3033e+11,2
"875",5.3033e+11,2
"876",5.3033e+11,2
"877",5.3033e+11,2
"878",5.3033e+11,2
"879",5.3033e+11,2
"880",5.3033e+11,2
"881",5.3033e+11,2
"882",5.3033e+11,2
"883",5.3033e+11,2
"884",5.3033e+11,2
"885",5.3033e+11,2
"886",5.3033e+11,2
"887",5.3033e+11,2
"888",5.3033e+11,2
"889",5.3033e+11,3
"890",5.3033e+11,3
"891",5.3033e+11,3
"892",5.3033e+11,3
"893",5.3033e+11,3
"894",5.3033e+11,1
"895",5.3033e+11,2
"896",5.3033e+11,3
"897",5.3033e+11,1
"898",5.3033e+11,2
"899",5.3033e+11,2
"900",5.3033e+11,2
"901",5.3033e+11,2
"902",5.3033e+11,2
"903",5.3033e+11,2
"904",5.3033e+11,2
"905",5.3033e+11,2
"906",5.3033e+11,2
"907",5.3033e+11,2
"908",5.3033e+11,2
"909",5.3033e+11,2
"910",5.3033e+11,2
"911",5.3033e+11,2
"912",5.3033e+11,2
"913",5.3033e+11,2
"914",5.3033e+11,2
"915",5.3033e+11,2
"916",5.3033e+11,2
"917",5.3033e+11,2
"918",5.3033e+11,2
"919",5.3033e+11,2
"920",5.3033e+11,2
"921",5.3033e+11,2
"922",5.3033e+11,2
"923",5.3033e+11,2
"924",5.3033e+11,2
"925",5.3033e+11,2
"926",5.3033e+11,2
"927",5.3033e+11,2
"928",5.3033e+11,2
"929",5.3033e+11,2
"930",5.3033e+11,2
"931",5.3033e+11,2
"932",5.3033e+11,2
"933",5.3033e+11,2
"934",5.3033e+11,2
"935",5.3033e+11,2
"936",5.3033e+11,2
"937",5.3033e+11,2
"938",5.3033e+11,2
"939",5.3033e+11,2
"940",5.3033e+11,2
"941",5.3033e+11,2
"942",5.3033e+11,2
"943",5.3033e+11,2
"944",5.3033e+11,2
"945",5.3033e+11,2
"946",5.3033e+11,2
"947",5.3033e+11,2
"948",5.3033e+11,2
"949",5.3033e+11,2
"950",5.3033e+11,2
"951",5.3033e+11,2
"952",5.3033e+11,2
"953",5.3033e+11,2
"954",5.3033e+11,2
"955",5.3033e+11,2
"956",5.3033e+11,2
"957",5.3033e+11,2
"958",5.3033e+11,2
"959",5.3033e+11,2
"960",5.3033e+11,2
"961",5.3033e+11,2
"962",5.3033e+11,2
"963",5.3033e+11,2
"964",5.3033e+11,2
"965",5.3033e+11,2
"966",5.3033e+11,2
"967",5.3033e+11,2
"968",5.3033e+11,2
"969",5.3033e+11,2
"970",5.3033e+11,2
"971",5.3033e+11,2
"972",5.3033e+11,2
"973",5.3033e+11,2
"974",5.3033e+11,2
"975",5.3033e+11,2
"976",5.3033e+11,2
"977",5.3033e+11,2
"978",5.3033e+11,2
"979",5.3033e+11,2
"980",5.3033e+11,2
"981",5.3033e+11,2
"982",5.3033e+11,2
"983",5.3033e+11,2
"984",5.3033e+11,2
"985",5.3033e+11,2
"986",5.3033e+11,2
"987",5.3033e+11,2
"988",5.3033e+11,3
"989",5.3033e+11,2
"990",5.3033e+11,2
"991",5.3033e+11,2
"992",5.3033e+11,2
"993",5.3033e+11,2
"994",5.3033e+11,2
"995",5.3033e+11,2
"996",5.3033e+11,2
"997",5.3033e+11,2
"998",5.3033e+11,2
"999",5.3033e+11,2
"1000",5.3033e+11,2
"1001",5.3033e+11,2
"1002",5.3033e+11,2
"1003",5.3033e+11,2
"1004",5.3033e+11,2
"1005",5.3033e+11,2
"1006",5.3033e+11,2
"1007",5.3033e+11,2
"1008",5.3033e+11,3
"1009",5.3033e+11,2
"1010",5.3033e+11,2
"1011",5.3033e+11,2
"1012",5.3033e+11,2
"1013",5.3033e+11,2
"1014",5.3033e+11,2
"1015",5.3033e+11,2
"1016",5.3033e+11,2
"1017",5.3033e+11,2
"1018",5.3033e+11,2
"1019",5.3033e+11,2
"1020",5.3033e+11,2
"1021",5.3033e+11,2
"1022",5.3033e+11,2
"1023",5.3033e+11,2
"1024",5.3033e+11,2
"1025",5.3033e+11,2
"1026",5.3033e+11,2
"1027",5.3033e+11,2
"1028",5.3033e+11,2
"1029",5.3033e+11,2
"1030",5.3033e+11,2
"1031",5.3033e+11,2
"1032",5.3033e+11,2
"1033",5.3033e+11,2
"1034",5.3033e+11,2
"1035",5.3033e+11,2
"1036",5.3033e+11,2
"1037",5.3033e+11,2
"1038",5.3033e+11,2
"1039",5.3033e+11,2
"1040",5.3033e+11,2
"1041",5.3033e+11,2
"1042",5.3033e+11,2
"1043",5.3033e+11,2
"1044",5.3033e+11,2
"1045",5.3033e+11,2
"1046",5.3033e+11,2
"1047",5.3033e+11,2
"1048",5.3033e+11,2
"1049",5.3033e+11,2
"1050",5.3033e+11,2
"1051",5.3033e+11,2
"1052",5.3033e+11,2
"1053",5.3033e+11,2
"1054",5.3033e+11,2
"1055",5.3033e+11,2
"1056",5.3033e+11,2
"1057",5.3033e+11,2
"1058",5.3033e+11,2
"1059",5.3033e+11,2
"1060",5.3033e+11,2
"1061",5.3033e+11,2
"1062",5.3033e+11,2
"1063",5.3033e+11,2
"1064",5.3033e+11,2
"1065",5.3033e+11,2
"1066",5.3033e+11,2
"1067",5.3033e+11,2
"1068",5.3033e+11,2
"1069",5.3033e+11,2
"1070",5.3033e+11,2
