Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
530330226062,,1759,112991,46618,52,0.03,7578,0.067,142,0.081,7155,0.063,33.6,0.152,0.037,0.041,0.072,0.115,0.116,0.103,0.143,0.221
530330056004,,1224,117062,58065,85,0.069,5743,0.049,79,0.065,4388,0.037,45.4,0.155,0.066,0.06,0.09,0.138,0.108,0.092,0.102,0.19
530330104021,,1440,128215,48246,21,0.015,7996,0.062,40,0.028,8363,0.065,34.9,0.306,0.077,0.068,0.094,0.117,0.092,0.073,0.084,0.089
530330323072,,1217,32500,11819,132,0.108,2111,0.065,106,0.087,2135,0.066,42.7,0.124,0.047,0.042,0.06,0.108,0.135,0.077,0.136,0.272
530530717032,,1568,116797,42788,189,0.121,9219,0.079,143,0.091,8269,0.071,31.5,0.398,0.113,0.109,0.114,0.124,0.068,0.034,0.027,0.013
530330001005,,1128,150935,63999,54,0.048,8938,0.059,16,0.014,7367,0.049,31.7,0.251,0.068,0.067,0.079,0.127,0.102,0.068,0.103,0.134
530330294053,,1077,107656,35945,9,0.008,7419,0.069,91,0.084,7291,0.068,37.5,0.234,0.074,0.081,0.12,0.146,0.115,0.08,0.083,0.067
530530714103,,2538,48046,16489,192,0.076,3138,0.065,224,0.088,3770,0.078,28.6,0.249,0.08,0.106,0.134,0.187,0.079,0.077,0.057,0.031
530530716012,,1337,102391,35624,51,0.038,7353,0.072,49,0.037,7257,0.071,50.2,0.352,0.107,0.107,0.116,0.134,0.08,0.041,0.041,0.021
530330250012,,1635,90551,33152,56,0.034,5161,0.057,71,0.043,5968,0.066,37.9,0.148,0.046,0.045,0.083,0.114,0.108,0.082,0.134,0.239
530539400033,,2121,45755,16443,186,0.088,2997,0.066,198,0.093,3511,0.077,28.5,0.268,0.075,0.077,0.105,0.156,0.12,0.068,0.076,0.055
530330086002,,2561,214181,113787,19,0.007,7426,0.035,0,0,6313,0.029,20.8,0.246,0.056,0.059,0.078,0.117,0.097,0.082,0.098,0.167
530330236044,,817,103659,41879,79,0.097,5843,0.056,50,0.061,5755,0.056,27.8,0.168,0.048,0.047,0.07,0.119,0.115,0.077,0.129,0.226
530530631001,,1099,130596,47638,18,0.016,9734,0.075,93,0.085,9759,0.075,41.9,0.389,0.114,0.101,0.114,0.126,0.077,0.037,0.026,0.015
530530729062,,575,15848,4803,4,0.007,2691,0.17,4,0.007,1634,0.103,22.7,0.342,0.171,0.091,0.111,0.168,0.04,0.025,0.035,0.016
530330090002,,1998,202760,106861,112,0.056,7209,0.036,103,0.052,5979,0.029,41.8,0.265,0.058,0.056,0.078,0.112,0.098,0.079,0.096,0.158
530330221022,,927,108416,43810,105,0.113,7038,0.065,44,0.047,6725,0.062,39,0.184,0.059,0.06,0.078,0.132,0.109,0.098,0.133,0.147
530530731181,,1978,18909,6332,130,0.066,1334,0.071,142,0.072,1482,0.078,32.2,0.141,0.107,0.078,0.132,0.211,0.111,0.108,0.065,0.046
530330094005,,1407,192202,99533,20,0.014,6583,0.034,112,0.08,5878,0.031,33,0.275,0.057,0.057,0.079,0.111,0.096,0.081,0.094,0.15
530330236043,,1407,112602,46275,31,0.022,6334,0.056,50,0.036,6164,0.055,52.2,0.168,0.05,0.048,0.072,0.118,0.118,0.08,0.125,0.223
530330291022,,1333,95241,34067,48,0.036,6470,0.068,141,0.106,7340,0.077,37.4,0.321,0.085,0.09,0.136,0.12,0.087,0.062,0.055,0.044
530330322121,,2839,54759,19816,300,0.106,3759,0.069,185,0.065,4453,0.081,36,0.104,0.034,0.036,0.052,0.108,0.099,0.115,0.147,0.305
530330320101,,1028,44758,15423,112,0.109,2989,0.067,49,0.048,4296,0.096,51,0.125,0.04,0.053,0.089,0.177,0.148,0.118,0.141,0.108
530530703092,,1767,44129,14912,35,0.02,2884,0.065,127,0.072,3523,0.08,43.2,0.143,0.065,0.074,0.099,0.159,0.153,0.104,0.112,0.09
530330323213,,2550,92760,36620,268,0.105,6229,0.067,229,0.09,6187,0.067,37.1,0.154,0.048,0.048,0.068,0.121,0.126,0.092,0.141,0.201
