bg_geo_id,model_id,score,date_obtained
530330001001,2,3,3/8/2021
530330001002,2,3,3/8/2021
530330001003,2,3,3/8/2021
530330001004,2,3,3/8/2021
530330001005,2,3,3/8/2021
530330002001,2,3,3/8/2021
530330002002,2,3,3/8/2021
530330002003,2,3,3/8/2021
530330002004,2,3,3/8/2021
530330002005,2,3,3/8/2021
530330002006,2,3,3/8/2021
530330003001,2,3,3/8/2021
530330003002,2,3,3/8/2021
530330004011,2,3,3/8/2021
530330004012,2,3,3/8/2021
530330004013,2,3,3/8/2021
530330004021,2,3,3/8/2021
530330004022,2,3,3/8/2021
530330004023,2,3,3/8/2021
530330004024,2,3,3/8/2021
530330005001,2,3,3/8/2021
530330005002,2,3,3/8/2021
530330005003,2,3,3/8/2021
530330006001,2,3,3/8/2021
530330006002,2,3,3/8/2021
530330006003,2,3,3/8/2021
530330006004,2,3,3/8/2021
530330006005,2,3,3/8/2021
530330006006,2,3,3/8/2021
530330007001,2,3,3/8/2021
530330007002,2,3,3/8/2021
530330007003,2,3,3/8/2021
530330007004,2,3,3/8/2021
530330008001,2,3,3/8/2021
530330008002,2,3,3/8/2021
530330009001,2,3,3/8/2021
530330009002,2,3,3/8/2021
530330010001,2,3,3/8/2021
530330010002,2,3,3/8/2021
530330011001,2,3,3/8/2021
530330011002,2,3,3/8/2021
530330012001,2,3,3/8/2021
530330012002,2,3,3/8/2021
530330012003,2,3,3/8/2021
530330012004,2,3,3/8/2021
530330012005,2,3,3/8/2021
530330013001,2,3,3/8/2021
530330013002,2,3,3/8/2021
530330013003,2,3,3/8/2021
530330014001,2,3,3/8/2021
530330014002,2,3,3/8/2021
530330014003,2,3,3/8/2021
530330014004,2,3,3/8/2021
530330015001,2,3,3/8/2021
530330015002,2,3,3/8/2021
530330016001,2,3,3/8/2021
530330016002,2,3,3/8/2021
530330016003,2,3,3/8/2021
530330017011,2,3,3/8/2021
530330017012,2,3,3/8/2021
530330017013,2,3,3/8/2021
530330017021,2,3,3/8/2021
530330017022,2,3,3/8/2021
530330017023,2,3,3/8/2021
530330017024,2,3,3/8/2021
530330018001,2,3,3/8/2021
530330018002,2,3,3/8/2021
530330018003,2,3,3/8/2021
530330019001,2,3,3/8/2021
530330019002,2,3,3/8/2021
530330019003,2,3,3/8/2021
530330020001,2,3,3/8/2021
530330020002,2,3,3/8/2021
530330020003,2,3,3/8/2021
530330021001,2,3,3/8/2021
530330021002,2,3,3/8/2021
530330021003,2,3,3/8/2021
530330022001,2,3,3/8/2021
530330022002,2,3,3/8/2021
530330022003,2,3,3/8/2021
530330022004,2,3,3/8/2021
530330024001,2,3,3/8/2021
530330024002,2,3,3/8/2021
530330024003,2,3,3/8/2021
530330025001,2,3,3/8/2021
530330025002,2,3,3/8/2021
530330026001,2,3,3/8/2021
530330026002,2,3,3/8/2021
530330026003,2,3,3/8/2021
530330026004,2,3,3/8/2021
530330027001,2,3,3/8/2021
530330027002,2,3,3/8/2021
530330027003,2,3,3/8/2021
530330027004,2,3,3/8/2021
530330028001,2,3,3/8/2021
530330028002,2,3,3/8/2021
530330028003,2,3,3/8/2021
530330028004,2,3,3/8/2021
530330029001,2,3,3/8/2021
530330029002,2,3,3/8/2021
530330029003,2,3,3/8/2021
530330030001,2,3,3/8/2021
530330030002,2,3,3/8/2021
530330030003,2,3,3/8/2021
530330030004,2,3,3/8/2021
530330031001,2,3,3/8/2021
530330031002,2,3,3/8/2021
530330031003,2,3,3/8/2021
530330031004,2,3,3/8/2021
530330031005,2,3,3/8/2021
530330032001,2,3,3/8/2021
530330032002,2,3,3/8/2021
530330032003,2,3,3/8/2021
530330032004,2,3,3/8/2021
530330032005,2,3,3/8/2021
530330032006,2,3,3/8/2021
530330032007,2,3,3/8/2021
530330033001,2,3,3/8/2021
530330033002,2,3,3/8/2021
530330033003,2,3,3/8/2021
530330033004,2,3,3/8/2021
530330033005,2,3,3/8/2021
530330034001,2,3,3/8/2021
530330034002,2,3,3/8/2021
530330034003,2,3,3/8/2021
530330035001,2,3,3/8/2021
530330035002,2,3,3/8/2021
530330035003,2,3,3/8/2021
530330036001,2,3,3/8/2021
530330036002,2,3,3/8/2021
530330036003,2,3,3/8/2021
530330036004,2,3,3/8/2021
530330038001,2,3,3/8/2021
530330038002,2,3,3/8/2021
530330039001,2,3,3/8/2021
530330039002,2,3,3/8/2021
530330040001,2,3,3/8/2021
530330040002,2,3,3/8/2021
530330041001,2,3,3/8/2021
530330041002,2,3,3/8/2021
530330041003,2,3,3/8/2021
530330041004,2,3,3/8/2021
530330041005,2,3,3/8/2021
530330041006,2,3,3/8/2021
530330042001,2,3,3/8/2021
530330042002,2,3,3/8/2021
530330042003,2,3,3/8/2021
530330042004,2,3,3/8/2021
530330042005,2,3,3/8/2021
530330043011,2,3,3/8/2021
530330043012,2,3,3/8/2021
530330043013,2,3,3/8/2021
530330043021,2,3,3/8/2021
530330043022,2,3,3/8/2021
530330044001,2,3,3/8/2021
530330044002,2,3,3/8/2021
530330044003,2,3,3/8/2021
530330044004,2,3,3/8/2021
530330045001,2,3,3/8/2021
530330045002,2,3,3/8/2021
530330046001,2,3,3/8/2021
530330046002,2,3,3/8/2021
530330046003,2,3,3/8/2021
530330047001,2,3,3/8/2021
530330047002,2,3,3/8/2021
530330047003,2,3,3/8/2021
530330047004,2,3,3/8/2021
530330048001,2,3,3/8/2021
530330048002,2,3,3/8/2021
530330048003,2,3,3/8/2021
530330048004,2,3,3/8/2021
530330049001,2,3,3/8/2021
530330049002,2,3,3/8/2021
530330049003,2,3,3/8/2021
530330049004,2,3,3/8/2021
530330049005,2,3,3/8/2021
530330050001,2,3,3/8/2021
530330050002,2,3,3/8/2021
530330050003,2,3,3/8/2021
530330051001,2,3,3/8/2021
530330051002,2,3,3/8/2021
530330051003,2,3,3/8/2021
530330052001,2,3,3/8/2021
530330052002,2,3,3/8/2021
530330052003,2,3,3/8/2021
530330052004,2,3,3/8/2021
530330052005,2,3,3/8/2021
530330053011,2,3,3/8/2021
530330053012,2,3,3/8/2021
530330053013,2,3,3/8/2021
530330053014,2,3,3/8/2021
530330053021,2,3,3/8/2021
530330053022,2,3,3/8/2021
530330053023,2,3,3/8/2021
530330054001,2,3,3/8/2021
530330054002,2,3,3/8/2021
530330054003,2,3,3/8/2021
530330054004,2,3,3/8/2021
530330056001,2,3,3/8/2021
530330056002,2,3,3/8/2021
530330056003,2,3,3/8/2021
530330056004,2,3,3/8/2021
530330056005,2,3,3/8/2021
530330057001,2,3,3/8/2021
530330057002,2,3,3/8/2021
530330057003,2,3,3/8/2021
530330057004,2,3,3/8/2021
530330057005,2,3,3/8/2021
530330057006,2,3,3/8/2021
530330058011,2,3,3/8/2021
530330058012,2,3,3/8/2021
530330058013,2,3,3/8/2021
530330058014,2,3,3/8/2021
530330058021,2,3,3/8/2021
530330058022,2,3,3/8/2021
530330058023,2,3,3/8/2021
530330059001,2,3,3/8/2021
530330059002,2,3,3/8/2021
530330059003,2,3,3/8/2021
530330059004,2,3,3/8/2021
530330059005,2,3,3/8/2021
530330060001,2,3,3/8/2021
530330060002,2,3,3/8/2021
530330060003,2,3,3/8/2021
530330060004,2,3,3/8/2021
530330061001,2,3,3/8/2021
530330061002,2,3,3/8/2021
530330061003,2,3,3/8/2021
530330061004,2,3,3/8/2021
530330062001,2,3,3/8/2021
530330062002,2,3,3/8/2021
530330062003,2,3,3/8/2021
530330063001,2,3,3/8/2021
530330063002,2,3,3/8/2021
530330063003,2,3,3/8/2021
530330063004,2,3,3/8/2021
530330064001,2,3,3/8/2021
530330064002,2,3,3/8/2021
530330064003,2,3,3/8/2021
530330065001,2,3,3/8/2021
530330065002,2,3,3/8/2021
530330065003,2,3,3/8/2021
530330066001,2,3,3/8/2021
530330066002,2,3,3/8/2021
530330067001,2,3,3/8/2021
530330067002,2,3,3/8/2021
530330067003,2,3,3/8/2021
530330067004,2,3,3/8/2021
530330068001,2,3,3/8/2021
530330068002,2,3,3/8/2021
530330069001,2,3,3/8/2021
530330069002,2,3,3/8/2021
530330069003,2,3,3/8/2021
530330069004,2,3,3/8/2021
530330070001,2,3,3/8/2021
530330070002,2,3,3/8/2021
530330070003,2,3,3/8/2021
530330070004,2,3,3/8/2021
530330070005,2,3,3/8/2021
530330070006,2,3,3/8/2021
530330071001,2,3,3/8/2021
530330071002,2,3,3/8/2021
530330072001,2,3,3/8/2021
530330072002,2,3,3/8/2021
530330072003,2,3,3/8/2021
530330073001,2,3,3/8/2021
530330073002,2,3,3/8/2021
530330073003,2,3,3/8/2021
530330074011,2,3,3/8/2021
530330074012,2,3,3/8/2021
530330074013,2,3,3/8/2021
530330074014,2,3,3/8/2021
530330074021,2,3,3/8/2021
530330074022,2,3,3/8/2021
530330074023,2,3,3/8/2021
530330075001,2,3,3/8/2021
530330075002,2,3,3/8/2021
530330075003,2,3,3/8/2021
530330075004,2,3,3/8/2021
530330075005,2,3,3/8/2021
530330076001,2,3,3/8/2021
530330076002,2,3,3/8/2021
530330076003,2,3,3/8/2021
530330077001,2,3,3/8/2021
530330077002,2,3,3/8/2021
530330077003,2,3,3/8/2021
530330077004,2,3,3/8/2021
530330078001,2,3,3/8/2021
530330078002,2,3,3/8/2021
530330078003,2,3,3/8/2021
530330078004,2,3,3/8/2021
530330079001,2,3,3/8/2021
530330079002,2,3,3/8/2021
530330079003,2,3,3/8/2021
530330079004,2,3,3/8/2021
530330079005,2,3,3/8/2021
530330080011,2,3,3/8/2021
530330080012,2,3,3/8/2021
530330080013,2,3,3/8/2021
530330080014,2,3,3/8/2021
530330080015,2,3,3/8/2021
530330080021,2,3,3/8/2021
530330080022,2,3,3/8/2021
530330081001,2,3,3/8/2021
530330081002,2,3,3/8/2021
530330081003,2,3,3/8/2021
530330082001,2,3,3/8/2021
530330082002,2,3,3/8/2021
530330082003,2,3,3/8/2021
530330083001,2,3,3/8/2021
530330083002,2,3,3/8/2021
530330084001,2,3,3/8/2021
530330084002,2,3,3/8/2021
530330084003,2,3,3/8/2021
530330085001,2,3,3/8/2021
530330085002,2,3,3/8/2021
530330085003,2,3,3/8/2021
530330086001,2,3,3/8/2021
530330086002,2,3,3/8/2021
530330086003,2,3,3/8/2021
530330087001,2,3,3/8/2021
530330087002,2,3,3/8/2021
530330087003,2,3,3/8/2021
530330088001,2,3,3/8/2021
530330088002,2,3,3/8/2021
530330088003,2,3,3/8/2021
530330089001,2,3,3/8/2021
530330089002,2,3,3/8/2021
530330089003,2,3,3/8/2021
530330089004,2,3,3/8/2021
530330090001,2,3,3/8/2021
530330090002,2,3,3/8/2021
530330091001,2,3,3/8/2021
530330091002,2,3,3/8/2021
