bg_geo_id,model_id,score,date_obtained
530530714063,8,4,2021-03-10
530530718061,8,5,2021-03-10
530530718071,8,5,2021-03-10
530530609062,8,4,2021-03-10
530530611006,8,4,2021-03-10
530530613001,8,5,2021-03-10
530530626001,8,4,2021-03-10
530530628011,8,5,2021-03-10
530530712103,8,4,2021-03-10
530530713071,8,4,2021-03-10
530530718031,8,5,2021-03-10
530530718052,8,5,2021-03-10
530530718083,8,5,2021-03-10
530530726022,8,4,2021-03-10
530530734052,8,4,2021-03-10
530530602001,8,4,2021-03-10
530530605003,8,4,2021-03-10
530530612004,8,4,2021-03-10
530530616011,8,4,2021-03-10
530530616021,8,4,2021-03-10
530530631002,8,4,2021-03-10
530530635014,8,3,2021-03-10
530530712071,8,4,2021-03-10
530530714112,8,5,2021-03-10
530530715041,8,4,2021-03-10
530530717051,8,4,2021-03-10
530530718034,8,4,2021-03-10
530530718062,8,5,2021-03-10
530530723112,8,5,2021-03-10
530530724071,8,4,2021-03-10
530530733022,8,4,2021-03-10
530530734063,8,5,2021-03-10
530530734072,8,5,2021-03-10
530530612001,8,5,2021-03-10
530530718072,8,4,2021-03-10
530530733012,8,4,2021-03-10
530530730061,8,4,2021-03-10
530330001001,8,4,2021-03-10
530330001002,8,4,2021-03-10
530330001003,8,4,2021-03-10
530330001004,8,4,2021-03-10
530330001005,8,4,2021-03-10
530330002001,8,4,2021-03-10
530330002002,8,4,2021-03-10
530330002003,8,4,2021-03-10
530330002004,8,4,2021-03-10
530330002005,8,4,2021-03-10
530330002006,8,4,2021-03-10
530330003001,8,4,2021-03-10
530330003002,8,4,2021-03-10
530330004011,8,4,2021-03-10
530330004012,8,4,2021-03-10
530330004013,8,4,2021-03-10
530330004021,8,4,2021-03-10
530330004022,8,4,2021-03-10
530330004023,8,4,2021-03-10
530330004024,8,4,2021-03-10
530330005001,8,4,2021-03-10
530330005002,8,4,2021-03-10
530330005003,8,4,2021-03-10
530330006001,8,4,2021-03-10
530330006002,8,4,2021-03-10
530330006003,8,5,2021-03-10
530330006004,8,4,2021-03-10
530330006005,8,4,2021-03-10
530330006006,8,4,2021-03-10
530330007001,8,4,2021-03-10
530330007002,8,4,2021-03-10
530330007003,8,4,2021-03-10
530330007004,8,4,2021-03-10
530330008001,8,4,2021-03-10
530330008002,8,4,2021-03-10
530330009001,8,4,2021-03-10
530330009002,8,4,2021-03-10
530330010001,8,5,2021-03-10
530330010002,8,3,2021-03-10
530330011001,8,4,2021-03-10
530330011002,8,4,2021-03-10
530330012001,8,4,2021-03-10
530330012002,8,4,2021-03-10
530330012003,8,4,2021-03-10
530330012004,8,4,2021-03-10
530330012005,8,4,2021-03-10
530330013001,8,4,2021-03-10
530330013002,8,4,2021-03-10
530330013003,8,4,2021-03-10
530330014001,8,4,2021-03-10
530330014002,8,4,2021-03-10
530330014003,8,4,2021-03-10
530330014004,8,4,2021-03-10
530330015001,8,4,2021-03-10
530330015002,8,4,2021-03-10
530330016001,8,3,2021-03-10
530330016002,8,4,2021-03-10
530330016003,8,4,2021-03-10
530330017011,8,4,2021-03-10
530330017012,8,4,2021-03-10
530330017013,8,4,2021-03-10
530330017021,8,4,2021-03-10
530330017022,8,4,2021-03-10
530330017023,8,4,2021-03-10
530330017024,8,4,2021-03-10
530330018001,8,4,2021-03-10
530330018002,8,4,2021-03-10
530330018003,8,4,2021-03-10
530330019001,8,4,2021-03-10
530330019002,8,4,2021-03-10
530330019003,8,4,2021-03-10
530330020001,8,4,2021-03-10
530330020002,8,4,2021-03-10
530330020003,8,4,2021-03-10
530330021001,8,4,2021-03-10
530330021002,8,4,2021-03-10
530330021003,8,4,2021-03-10
530330022001,8,4,2021-03-10
530330022002,8,4,2021-03-10
530330022003,8,4,2021-03-10
530330022004,8,4,2021-03-10
530330024001,8,4,2021-03-10
530330024002,8,4,2021-03-10
530330024003,8,4,2021-03-10
530330025001,8,3,2021-03-10
530330025002,8,4,2021-03-10
530330026001,8,4,2021-03-10
530330026002,8,4,2021-03-10
530330026003,8,4,2021-03-10
530330026004,8,3,2021-03-10
530330027001,8,4,2021-03-10
530330027002,8,4,2021-03-10
530330027003,8,4,2021-03-10
530330027004,8,4,2021-03-10
530330028001,8,4,2021-03-10
530330028002,8,4,2021-03-10
530330028003,8,4,2021-03-10
530330028004,8,4,2021-03-10
530330029001,8,4,2021-03-10
530330029002,8,4,2021-03-10
530330029003,8,4,2021-03-10
530330030001,8,4,2021-03-10
530330030002,8,4,2021-03-10
530330030003,8,4,2021-03-10
530330030004,8,3,2021-03-10
530330031001,8,3,2021-03-10
530330031002,8,4,2021-03-10
530330031003,8,4,2021-03-10
530330031004,8,4,2021-03-10
530330031005,8,4,2021-03-10
530330032001,8,4,2021-03-10
530330032002,8,4,2021-03-10
530330032003,8,4,2021-03-10
530330032004,8,4,2021-03-10
530330032005,8,4,2021-03-10
530330032006,8,3,2021-03-10
530330032007,8,4,2021-03-10
530330033001,8,4,2021-03-10
530330033002,8,4,2021-03-10
530330033003,8,4,2021-03-10
530330033004,8,4,2021-03-10
530330033005,8,4,2021-03-10
530330034001,8,4,2021-03-10
530330034002,8,4,2021-03-10
530330034003,8,4,2021-03-10
530330035001,8,4,2021-03-10
530330035002,8,4,2021-03-10
530330035003,8,3,2021-03-10
530330036001,8,4,2021-03-10
530330036002,8,3,2021-03-10
530330036003,8,3,2021-03-10
530330036004,8,4,2021-03-10
530330038001,8,4,2021-03-10
530330038002,8,4,2021-03-10
530330039001,8,3,2021-03-10
530330039002,8,3,2021-03-10
530330040001,8,4,2021-03-10
530330040002,8,4,2021-03-10
530330041001,8,4,2021-03-10
530330041002,8,3,2021-03-10
530330041003,8,4,2021-03-10
530330041004,8,4,2021-03-10
530330041005,8,5,2021-03-10
530330041006,8,4,2021-03-10
530330042001,8,3,2021-03-10
530330042002,8,4,2021-03-10
530330042003,8,4,2021-03-10
530330042004,8,4,2021-03-10
530330042005,8,3,2021-03-10
530330043011,8,5,2021-03-10
530330043012,8,3,2021-03-10
530330043013,8,4,2021-03-10
530330043021,8,4,2021-03-10
530330043022,8,4,2021-03-10
530330044001,8,4,2021-03-10
