bg_geo_id,model_id,score,date_obtained
530330030002,5,4,Fri Mar 05 10:43:53 2021
530330030003,5,4,Fri Mar 05 10:43:53 2021
530330030004,5,4,Fri Mar 05 10:43:53 2021
530330031001,5,3,Fri Mar 05 10:43:53 2021
530330031002,5,4,Fri Mar 05 10:43:53 2021
530330031003,5,4,Fri Mar 05 10:43:53 2021
530330031004,5,4,Fri Mar 05 10:43:53 2021
530330031005,5,3,Fri Mar 05 10:43:53 2021
530330032001,5,4,Fri Mar 05 10:43:53 2021
530330032002,5,3,Fri Mar 05 10:43:53 2021
530330032003,5,4,Fri Mar 05 10:43:53 2021
530330032004,5,4,Fri Mar 05 10:43:53 2021
530330032005,5,4,Fri Mar 05 10:43:53 2021
530330032006,5,3,Fri Mar 05 10:43:53 2021
530330032007,5,3,Fri Mar 05 10:43:53 2021
530330033001,5,3,Fri Mar 05 10:43:53 2021
530330033002,5,4,Fri Mar 05 10:43:53 2021
530330033003,5,3,Fri Mar 05 10:43:53 2021
530330033004,5,3,Fri Mar 05 10:43:53 2021
530330033005,5,4,Fri Mar 05 10:43:53 2021
530330034001,5,4,Fri Mar 05 10:43:53 2021
530330034002,5,3,Fri Mar 05 10:43:53 2021
530330034003,5,3,Fri Mar 05 10:43:53 2021
530330035001,5,4,Fri Mar 05 10:43:53 2021
530330035002,5,3,Fri Mar 05 10:43:53 2021
530330035003,5,3,Fri Mar 05 10:43:53 2021
530330036001,5,4,Fri Mar 05 10:43:53 2021
530330036002,5,4,Fri Mar 05 10:43:53 2021
530330036003,5,4,Fri Mar 05 10:43:53 2021
530330036004,5,3,Fri Mar 05 10:43:53 2021
530330038001,5,4,Fri Mar 05 10:43:53 2021
530330038002,5,4,Fri Mar 05 10:43:53 2021
530330039001,5,3,Fri Mar 05 10:43:53 2021
530330039002,5,3,Fri Mar 05 10:43:53 2021
530330040001,5,4,Fri Mar 05 10:43:53 2021
530330040002,5,3,Fri Mar 05 10:43:53 2021
530330041001,5,4,Fri Mar 05 10:43:53 2021
530330041002,5,3,Fri Mar 05 10:43:53 2021
530330041003,5,3,Fri Mar 05 10:43:53 2021
530330041004,5,3,Fri Mar 05 10:43:53 2021
530330041005,5,4,Fri Mar 05 10:43:53 2021
530330041006,5,4,Fri Mar 05 10:43:53 2021
530330042001,5,3,Fri Mar 05 10:43:53 2021
530330042002,5,3,Fri Mar 05 10:43:53 2021
530330042003,5,4,Fri Mar 05 10:43:53 2021
530330042004,5,4,Fri Mar 05 10:43:53 2021
530330042005,5,3,Fri Mar 05 10:43:53 2021
530330043011,5,4,Fri Mar 05 10:43:53 2021
