"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score.Predict"
"530530602001",2.5,2414,69923,27762,0.005,0.056,0.002,0.056,35,0.319,0.081,0.074,0.1,0.131,0.1,0.07,0.068,0.057,5.00699377019664
"530530613001",4,969,99509,42030,0.078,0.052,0.074,0.06,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044,2.08195610326155
"530530734063",3,2689,59798,23233,0.127,0.06,0.088,0.053,27.2,0.25,0.085,0.086,0.114,0.146,0.11,0.064,0.088,0.057,2.99575532580803
"530530714063",5,667,75025,24389,0.022,0.076,0.031,0.085,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042,2.06695787304309
"530530715041",3,1927,91619,33177,0.075,0.071,0,0.07,29.7,0.377,0.111,0.105,0.112,0.139,0.067,0.037,0.036,0.016,2.07365819580416
"530530731113",4,908,70615,23665,0,0.075,0.035,0.076,38.5,0.2,0.075,0.076,0.117,0.168,0.128,0.092,0.086,0.058,3.75691353402522
"530530617005",3,1047,125940,51709,0.032,0.06,0.011,0.065,43.6,0.346,0.101,0.079,0.106,0.135,0.092,0.051,0.053,0.037,2.75479450454223
"530530611006",4,918,123058,52812,0.05,0.056,0.056,0.06,35.9,0.336,0.092,0.075,0.101,0.135,0.094,0.055,0.059,0.052,3.44209050508073
"530530714112",3,1617,42406,13944,0.1,0.079,0.062,0.089,31.9,0.25,0.069,0.095,0.137,0.177,0.092,0.088,0.061,0.032,3.8697353563972
"530530712081",2,2573,83958,30246,0.014,0.063,0.023,0.061,43.2,0.229,0.076,0.072,0.115,0.149,0.126,0.08,0.09,0.062,2.33973620888189
"530539400021",3,1497,54889,19079,0.067,0.07,0.063,0.066,40,0.229,0.07,0.082,0.112,0.173,0.115,0.075,0.085,0.06,4.28769149254966
"530530626001",4,1240,135925,53134,0.055,0.07,0.072,0.064,29.7,0.362,0.099,0.095,0.104,0.132,0.09,0.048,0.042,0.027,4.05044741643751
"530530616021",2.5,816,107453,42360,0.032,0.059,0.011,0.064,35.3,0.367,0.096,0.082,0.104,0.127,0.096,0.048,0.049,0.031,3.35637006106028
"530530717051",3,1355,101715,36573,0.052,0.072,0.024,0.066,37.3,0.381,0.11,0.107,0.113,0.132,0.069,0.038,0.034,0.016,3.71063209942432
"530530734052",4,1853,76656,29210,0.074,0.06,0.038,0.053,33.7,0.259,0.088,0.077,0.126,0.137,0.115,0.064,0.081,0.053,4.77513353495287
"530530716023",2,2074,103285,36972,0.044,0.07,0.064,0.065,40,0.369,0.11,0.11,0.114,0.138,0.07,0.037,0.035,0.016,2.69758439502019
"530530713071",4,1246,72712,26145,0.061,0.061,0.059,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046,3.00858069368422
"530530613006",5,633,107504,45250,0.098,0.055,0.115,0.06,29.5,0.351,0.098,0.073,0.104,0.131,0.089,0.054,0.058,0.042,3.93430449743006
"530530609062",4,811,91774,39281,0.065,0.056,0.055,0.058,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063,3.21811574287784
"530530734072",3,1018,58307,22434,0.098,0.062,0.051,0.056,35.7,0.245,0.082,0.083,0.117,0.151,0.116,0.064,0.089,0.053,4.00270072071094
