"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score"
"530330220012",NA,2768,101575,40865,0.036,0.068,0.044,0.063,51,0.176,0.06,0.059,0.082,0.132,0.121,0.101,0.137,0.133,3.31270443482607
"530330320031",NA,1538,27663,9497,0.064,0.061,0.044,0.096,43.5,0.124,0.029,0.038,0.085,0.168,0.132,0.136,0.159,0.129,5.00125161552545
"530330315012",NA,1622,1622,652,0.073,0.073,0.07,0.07,46,0.259,0.048,0.043,0.038,0.117,0.175,0.135,0.066,0.12,5.41198401863513
"530330282002",NA,2070,82181,28844,0.071,0.073,0.037,0.065,29.5,0.319,0.108,0.09,0.101,0.136,0.095,0.06,0.049,0.041,3.4797822561496
"530330095004",NA,1418,154780,69168,0.01,0.043,0.13,0.042,44.1,0.304,0.06,0.06,0.083,0.104,0.089,0.076,0.086,0.138,4.41655822380039
"530330295032",NA,1718,107349,36321,0.107,0.071,0.07,0.072,33.4,0.285,0.079,0.078,0.12,0.135,0.105,0.073,0.072,0.053,4.84773588141711
"530539400091",NA,1912,52059,19758,0.023,0.061,0.067,0.064,44.7,0.235,0.079,0.084,0.099,0.164,0.122,0.07,0.085,0.062,2.97180061106624
"530670109102",NA,524,48800,21614,0.032,0.047,0.031,0.048,35.5,0.342,0.091,0.086,0.097,0.131,0.094,0.065,0.048,0.046,2.88181599810077
"530330320104",NA,2186,36200,12263,0.103,0.071,0.129,0.106,31.8,0.137,0.035,0.038,0.089,0.17,0.134,0.126,0.157,0.115,3.18288839341852
"530330058021",NA,1403,180091,92212,0.051,0.045,0.021,0.036,35.5,0.161,0.059,0.059,0.084,0.125,0.111,0.094,0.116,0.191,2.22027447789102
