CS_ID,url,Address_Line,City,State,Postal_Code,GeoCode,Property_Type,Price,SquareFeet,Building_Class,Year_Built,Parking_Ratio,Sale_Type
LN-21058749,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,4201 S Steele St,Tacoma,WA,98409,53053062600,Retail,3300000,6737,B,1993,N/A,Owner User
LN-21027824,https://www.loopnet.com/Listing/215-23rd-Ave-SW-Puyallup-WA/21027824/,215 23rd Ave SW,Puyallup,WA,98371,53053073405,Multifamily,4100000,,C,1993,"1.84/1,000SF",Investment
LN-20956338,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,4404 S Meridian,Puyallup,WA,98373,53053071207,Retail,6230000,14355,N/A,2002,N/A,Investment
LN-20769216,https://www.loopnet.com/Listing/8113-John-Dower-Rd-SW-Lakewood-WA/20769216/,8113 John Dower Rd SW,Lakewood,WA,98499,53053071803,Multifamily,1950000,,C,1965/1978,"0.37/1,000SF",Investment
LN-20742136,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,9810 Pacific Ave,Tacoma,WA,98444,53053071705,Retail,2370000,1682,B,2017,N/A,Investment
LN-20637101,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,11311 164th St E,Puyallup,WA,98374,53053073111,IndustrialOfficeIndustrialLiveWorkUnit,1500000,2113,C,1976/1986,N/A,InvestmentorOwnerUser
LN-20292461,https://www.loopnet.com/Listing/Phelps-Tire-Factory/20292461/,Phelps Tire Factory,N/A,N/A,N/A,,N/A,2200000,,N/A,N/A,N/A,Investment
LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,1009-1013 Pacific Ave,Tacoma,WA,98402,53053061601,Retail,3500000,30368,C,1928,N/A,Owner User
LN-20205607,https://www.loopnet.com/Listing/6403-6413-Steilacoom-Blvd-SW-Lakewood-WA/20205607/,6403-6413 Steilacoom Blvd SW,Lakewood,WA,98499,53053071803,Retail,1250000,9982,C,1944,N/A,Investment or Owner User
LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,Nisqually Power Station,N/A,N/A,N/A,,N/A,3650000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,8717 Key Peninsula Hwy NW,Lakebay,WA,98349,53053072602,Land,815000,,N/A,N/A,N/A,OwnerUser
LN-20007582,https://www.loopnet.com/Listing/37715-Milton-Rd-S-Milton-WA/20007582/,37715 Milton Rd S,Milton,WA,98354,,Land,130000,,N/A,N/A,N/A,OwnerUser
LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,2412 136th Ave Ct E,Sumner,WA,98390,,Retail,5560000,3010,C,2020,N/A,Investment
LN-19874406,https://www.loopnet.com/Listing/6319-112th-St-E-Puyallup-WA/19874406/,6319 112th St E,Puyallup,WA,98373,53053071206,Industrial,1750000,8302,C,1977,"1.81/1,000SF",OwnerUser
LN-19859913,https://www.loopnet.com/Listing/6314-19th-St-W-Fircrest-WA/19859913/,6314 19th St W,Fircrest,WA,98466,,Office(Condo),350000,,C,1985,"0.85/1,000SF",InvestmentorOwnerUser
LN-19859248,https://www.loopnet.com/Listing/2418-136th-Avenue-Ct-E-Sumner-WA/19859248/,2418 136th Avenue Ct E,Sumner,WA,98390,,Retail,2880000,2200,C,2020,N/A,Investment
LN-19704420,https://www.loopnet.com/Listing/136-Stewart-Rd-SW-Pacific-WA/19704420/,136 Stewart Rd SW,Pacific,WA,98047,53053073301,FlexIndustrialManufacturingIndustrialWarehouseIndustrialService,6700000,45797,C,1969/1980,"0.3/1,000SF",Investment
LN-19639036,https://www.loopnet.com/Listing/Midland-Commercial-Tacoma-Parkland/19639036/,Midland Commercial - Tacoma/Parkland,N/A,N/A,N/A,,N/A,600000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-19627971,https://www.loopnet.com/Listing/12811-Pacific-Ave-S-Tacoma-WA/19627971/,12811 Pacific Ave S,Tacoma,WA,98444,53053071504,Retail,1470000,500,C,2020,N/A,Investment
LN-19626041,https://www.loopnet.com/Listing/1824-S-Meridian-St-Puyallup-WA/19626041/,1824 S Meridian St,Puyallup,WA,98371,53053073405,Office,575000,1728,C,1975,N/A,Owner User
LN-19597690,https://www.loopnet.com/Listing/602-Tacoma-Ave-S-Tacoma-WA/19597690/,602 Tacoma Ave S,Tacoma,WA,98402,53053061501,Land,1800000,,N/A,N/A,N/A,Investment
LN-18819368,https://www.loopnet.com/Listing/16313-64th-St-E-Sumner-WA/18819368/,16313 64th St E,Sumner,WA,98390,53053073301,Land,950000,,N/A,N/A,N/A,Investment
LN-18771550,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,10117 S Tacoma Way,Lakewood,WA,98499,53053071807,Sports&Entertainment,8800000,,B,2003,"8.01/1,000SF",Investment
LN-18746763,https://www.loopnet.com/Listing/412-E-Main-Puyallup-WA/18746763/,412 E Main,Puyallup,WA,98372,53053073407,Retail,769500,4428,B,1976,N/A,Owner User
LN-18710758,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,8217 S Hosmer St,Tacoma,WA,98408,53053063501,Land,1190000,,N/A,N/A,N/A,Investment
LN-18591703,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,5601 Soundview Dr,Gig Harbor,WA,98335,53053072407,Retail,2250000,6686,B,1982,N/A,Owner User
LN-18498353,https://www.loopnet.com/Listing/125-S-Meridian-Puyallup-WA/18498353/,125 S Meridian,Puyallup,WA,98371,53053073407,Retail,1499000,9900,C,1948/1983,N/A,Investment
LN-18436670,https://www.loopnet.com/Listing/1944-Milwaukee-Way-Tacoma-WA/18436670/,1944 Milwaukee Way,Tacoma,WA,98421,53053060200,Industrial,2200000,10100,C,1964,"0.71/1,000SF",OwnerUser
LN-18337628,https://www.loopnet.com/Listing/68317-SR-410-E-Enumclaw-WA/18337628/,68317 SR 410 E,Enumclaw,WA,98022,,Hospitality,5250000,,B,1960,N/A,Investment
LN-18288967,https://www.loopnet.com/Listing/9402-Front-St-S-Lakewood-WA/18288967/,9402 Front St S,Lakewood,WA,98499,,Land,230000,,N/A,N/A,N/A,Investment
LN-18181205,https://www.loopnet.com/Listing/18811-38th-Ave-E-Tacoma-WA/18181205/,18811 38th Ave E,Tacoma,WA,98446,53053071412,Land,495000,,N/A,N/A,N/A,Investment
LN-18181149,https://www.loopnet.com/Listing/21509-Mountain-Hwy-E-Spanaway-WA/18181149/,21509 Mountain Hwy E,Spanaway,WA,98387,53053071411,Land,600000,,N/A,N/A,N/A,Investment
LN-17665091,https://www.loopnet.com/Listing/Brand-New-25-Year-CVS-Portfolio/17665091/,Brand New 25-Year CVS Portfolio,N/A,N/A,N/A,,N/A,90717926,,N/A,N/A,N/A,Investment
