CS_ID,url,address,Property Type,Price,Square Feet,Building Class,Year Built,Sale Type
LN-20691852,https://www.loopnet.com/Listing/6317-E-Portland-Ave-Tacoma-WA/20691852/,"6317 E Portland Ave, Tacoma, WA 98404",Retail,"$400,000","1,616 SF",B,1946/2018,Investment or Owner User
LN-20637101,https://www.loopnet.com/Listing/11311-164th-St-E-Puyallup-WA/20637101/,"11311 164th St E, Puyallup, WA 98374",IndustrialOfficeIndustrialLiveWorkUnit,"$1,500,000","2,113SF",C,1976/1986,InvestmentorOwnerUser
LN-20292461,https://www.loopnet.com/Listing/Phelps-Tire-Factory/20292461/,Phelps Tire Factory,N/A,"$2,200,000",N/A,N/A,N/A,Investment
LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,"1009-1013 Pacific Ave, Tacoma, WA 98402",Retail,"$3,500,000","30,368 SF",C,1928,Owner User
LN-20205607,https://www.loopnet.com/Listing/6403-6413-Steilacoom-Blvd-SW-Lakewood-WA/20205607/,"6403-6413 Steilacoom Blvd SW, Lakewood, WA 98499",Retail,"$1,250,000","9,982 SF",C,1944,Investment or Owner User
LN-20205501,https://www.loopnet.com/Listing/16317-Pacific-Ave-S-Spanaway-WA/20205501/,"16317 Pacific Ave S, Spanaway, WA 98387",RetailRetailFlex Light ManufacturingShowroomIndustrial ServiceRetail,"$400,000","6,093 SF",N/A,1925/1980,Investment or Owner User
LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,Nisqually Power Station,N/A,"$3,650,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,"8717 Key Peninsula Hwy NW, Lakebay, WA 98349",Land,"$815,000",N/A,N/A,N/A,OwnerUser
LN-20005938,https://www.loopnet.com/Listing/12811-Pacific-Hwy-SW-Lakewood-WA/20005938/,"12811 Pacific Hwy SW, Lakewood, WA 98499",Flex,"$6,225,000","9,567SF",B,2005/2019,Investment
LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,"2412 136th Ave Ct E, Sumner, WA 98390",Retail,"$5,560,000","3,010 SF",C,2020,Investment
LN-19897173,https://www.loopnet.com/Listing/217-W-Stewart-Ave-Puyallup-WA/19897173/,"217 W Stewart Ave, Puyallup, WA 98371",Industrial,"$1,499,999","11,520SF",B,1988/1992,OwnerUser
LN-19874406,https://www.loopnet.com/Listing/6319-112th-St-E-Puyallup-WA/19874406/,"6319 112th St E, Puyallup, WA 98373",Industrial,"$1,750,000","8,302SF",C,1977,OwnerUser
LN-19859913,https://www.loopnet.com/Listing/6314-19th-St-W-Fircrest-WA/19859913/,"6314 19th St W, Fircrest, WA 98466",Office(Condo),"$350,000",N/A,C,1985,InvestmentorOwnerUser
LN-19859248,https://www.loopnet.com/Listing/2418-136th-Avenue-Ct-E-Sumner-WA/19859248/,"2418 136th Avenue Ct E, Sumner, WA 98390",Retail,"$2,880,000","2,200 SF",C,2020,Investment
LN-19704420,https://www.loopnet.com/Listing/136-Stewart-Rd-SW-Pacific-WA/19704420/,"136 Stewart Rd SW, Pacific, WA 98047",FlexIndustrialManufacturingIndustrialWarehouseIndustrialService,"$6,700,000","45,797SF",C,1969/1980,Investment
LN-19639036,https://www.loopnet.com/Listing/Midland-Commercial-Tacoma-Parkland/19639036/,Midland Commercial - Tacoma/Parkland,N/A,"$600,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-19627971,https://www.loopnet.com/Listing/12811-Pacific-Ave-S-Tacoma-WA/19627971/,"12811 Pacific Ave S, Tacoma, WA 98444",Retail,"$1,470,000",500 SF,C,2020,Investment
LN-19626041,https://www.loopnet.com/Listing/1824-S-Meridian-St-Puyallup-WA/19626041/,"1824 S Meridian St, Puyallup, WA 98371",Office,"$575,000","1,728 SF",C,1975,Owner User
LN-19597690,https://www.loopnet.com/Listing/602-Tacoma-Ave-S-Tacoma-WA/19597690/,"602 Tacoma Ave S, Tacoma, WA 98402",Land,"$1,800,000",N/A,N/A,N/A,Investment
LN-18771550,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,"10117 S Tacoma Way, Lakewood, WA 98499",Sports&Entertainment,"$8,800,000",N/A,B,2003,Investment
LN-18746763,https://www.loopnet.com/Listing/412-E-Main-Puyallup-WA/18746763/,"412 E Main, Puyallup, WA 98372",Retail,"$769,500","4,428 SF",B,1976,Owner User
LN-18710758,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,"8217 S Hosmer St, Tacoma, WA 98408",Land,"$1,190,000",N/A,N/A,N/A,Investment
LN-18591703,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,"5601 Soundview Dr, Gig Harbor, WA 98335",Retail,"$2,250,000","6,686 SF",B,1982,Owner User
LN-18503239,https://www.loopnet.com/Listing/2515-N-Stevens-St-Tacoma-WA/18503239/,"2515 N Stevens St, Tacoma, WA 98406",Retail,"$995,000","2,600 SF",N/A,1959/2015,Owner User
LN-18498353,https://www.loopnet.com/Listing/125-S-Meridian-Puyallup-WA/18498353/,"125 S Meridian, Puyallup, WA 98371",Retail,"$1,499,000","9,900 SF",C,1948/1983,Investment
LN-18436670,https://www.loopnet.com/Listing/1944-Milwaukee-Way-Tacoma-WA/18436670/,"1944 Milwaukee Way, Tacoma, WA 98421",Industrial,"$2,200,000","10,100SF",C,1964,OwnerUser
LN-18337628,https://www.loopnet.com/Listing/68317-SR-410-E-Enumclaw-WA/18337628/,"68317 SR 410 E, Enumclaw, WA 98022",Hospitality,"$5,250,000",N/A,B,1960,Investment
LN-18288967,https://www.loopnet.com/Listing/9402-Front-St-S-Lakewood-WA/18288967/,"9402 Front St S, Lakewood, WA 98499",Land,"$230,000",N/A,N/A,N/A,Investment
LN-18181205,https://www.loopnet.com/Listing/18811-38th-Ave-E-Tacoma-WA/18181205/,"18811 38th Ave E, Tacoma, WA 98446",Land,"$495,000",N/A,N/A,N/A,Investment
LN-18181149,https://www.loopnet.com/Listing/21509-Mountain-Hwy-E-Spanaway-WA/18181149/,"21509 Mountain Hwy E, Spanaway, WA 98387",Land,"$600,000",N/A,N/A,N/A,Investment
LN-17665091,https://www.loopnet.com/Listing/Brand-New-25-Year-CVS-Portfolio/17665091/,Brand New 25-Year CVS Portfolio,N/A,"$90,717,926",N/A,N/A,N/A,Investment
LN-17654193,https://www.loopnet.com/Listing/7519-48th-St-E-Fife-WA/17654193/,"7519 48th St E, Fife, WA 98424",Land,"$1,850,000",N/A,N/A,N/A,Investment
LN-17590723,https://www.loopnet.com/Listing/16017-60th-St-E-Sumner-WA/17590723/,"16017 60th St E, Sumner, WA 98390",Land,"$2,100,000",N/A,N/A,N/A,Investment
LN-17033691,https://www.loopnet.com/Listing/412-23rd-St-Puyallup-WA/17033691/,"412 23rd St, Puyallup, WA 98372",Land,"$800,000",N/A,N/A,N/A,Investment
LN-16845083,https://www.loopnet.com/Listing/11721-Burnham-Dr-NW-Gig-Harbor-WA/16845083/,"11721 Burnham Dr NW, Gig Harbor, WA 98332",Land,"$320,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-16681285,https://www.loopnet.com/Listing/1502-6th-Ave-Tacoma-WA/16681285/,"1502 6th Ave, Tacoma, WA 98405",Retail,"$800,000","1,747 SF",C,1963,Investment
LN-16445283,https://www.loopnet.com/Listing/12221-Shaw-Rd-Puyallup-WA/16445283/,"12221 Shaw Rd, Puyallup, WA 98374",Land,"$2,300,000",N/A,N/A,N/A,OwnerUser
LN-16434342,https://www.loopnet.com/Listing/5019-E-Valley-Hwy-E-Sumner-WA/16434342/,"5019 E Valley Hwy E, Sumner, WA 98390",Land,"$450,000",N/A,N/A,N/A,OwnerUser
LN-15917729,https://www.loopnet.com/Listing/5814-176th-St-E-Puyallup-WA/15917729/,"5814 176th St E, Puyallup, WA 98375",Land,"$4,982,393",N/A,N/A,N/A,Investment
LN-15375772,https://www.loopnet.com/Listing/5448-S-Tacoma-Way-Tacoma-WA/15375772/,"5448 S Tacoma Way, Tacoma, WA 98409",Retail,"$2,499,999","20,000 SF",B,1920,Investment or Owner User
LN-15190913,https://www.loopnet.com/Listing/2725-Henry-Rd-Tacoma-WA/15190913/,"2725 Henry Rd, Tacoma, WA 98403",Land,"$990,000",N/A,N/A,N/A,Investment
LN-15108367,https://www.loopnet.com/Listing/2512-Holgate-St-Tacoma-WA/15108367/,"2512 Holgate St, Tacoma, WA 98402",Industrial,"$3,895,000","28,800SF",C,1890,Investment
LN-15105812,https://www.loopnet.com/Listing/18202-Canyon-Rd-E-Puyallup-WA/15105812/,"18202 Canyon Rd E, Puyallup, WA 98375",Land,"$300,000",N/A,N/A,N/A,Investment
LN-14295916,https://www.loopnet.com/Listing/11605-Pacific-Hwy-SW-Lakewood-WA/14295916/,"11605 Pacific Hwy SW, Lakewood, WA 98499",Retail,"$700,000","4,208 SF",C,1963,Owner User
LN-14192655,https://www.loopnet.com/Listing/11619-Pacific-Hwy-SW-Lakewood-WA/14192655/,"11619 Pacific Hwy SW, Lakewood, WA 98499",Retail,"$700,000","4,208 SF",C,1963,Owner User
LN-14109212,https://www.loopnet.com/Listing/401-E-15th-St-Tacoma-WA/14109212/,"401 E 15th St, Tacoma, WA 98421",Specialty,"$5,750,000",N/A,C,1998,OwnerUser
LN-13929508,https://www.loopnet.com/Listing/18426-Veterans-Memorial-Hwy-Bonney-Lake-WA/13929508/,"18426 Veterans Memorial Hwy, Bonney Lake, WA 98391",Land,"$450,000",N/A,N/A,N/A,Investment
LN-12239208,https://www.loopnet.com/Listing/6902-27th-St-W-University-Place-WA/12239208/,"6902 27th St W, University Place, WA 98466",Land,"$3,430,350",N/A,N/A,N/A,Investment
LN-11150078,https://www.loopnet.com/Listing/5408-Steilacoom-Blvd-SW-Lakewood-WA/11150078/,"5408 Steilacoom Blvd SW, Lakewood, WA 98499",Retail,"$395,000","4,400 SF",B,1927/1978,Owner User
LN-/8895301,https://www.loopnet.com/Listing/176th-St-Puyallup-WA/8895301/,"176th St, Puyallup, WA 98375",Land,"$692,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-/7336077,https://www.loopnet.com/Listing/12111-Pacific-Hwy-S-Lakewood-WA/7336077/,"12111 Pacific Hwy S, Lakewood, WA 98499",Land,"$1,350,000",N/A,N/A,N/A,Investment
LN-/6176568,https://www.loopnet.com/Listing/18414-Veterans-Memorial-Hwy-Bonney-Lake-WA/6176568/,"18414 Veterans Memorial Hwy, Bonney Lake, WA 98391",Land,"$297,000",N/A,N/A,N/A,Investment
LN-/5650350,https://www.loopnet.com/Listing/9321-S-Tacoma-Way-Lakewood-WA/5650350/,"9321 S Tacoma Way, Lakewood, WA 98499",Retail,"$1,100,000","2,032 SF",C,1947,Owner User
LN-/4000808,https://www.loopnet.com/Listing/22605-22723-22809-Meridian-Ave/4000808/,"22605, 22723 & 22809 Meridian Ave",N/A,"$8,122,000",N/A,N/A,N/A,Investment
